OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Wed 02 Mar 2016 15:06:45,Chicago,Pearl's Southern Comfort,656,113,2,Creole/Cajun/Southern,-87.659986,41.979331,"5352 North Broadway St.Chicago, IL  60640",7737547419,4.4333,0,4,10,36,70,/pearls-southern-comfort,Thu 03 Mar 2016 12:42:54,Chicago,Pearl's Southern Comfort,12,NotFound,NotFound,-87.66037,41.979706,"5352 North Broadway, Chicago, IL 60640 ",7737547419,884,4.3333,0,0,1,6,5,/Restaurant_Review-g35805-d8506922-Reviews-Pearl_s_Southern_Comfort-Chicago_Illinois.html
Wed 02 Mar 2016 15:06:58,Chicago,mfk.,549,84,3,Seafood,-87.64073,41.933057,"432 W Diversey PkwyChicago, IL  60614",7738572540,4.4353,0,0,7,34,44,/mfk,Wed 02 Mar 2016 06:50:01,Chicago,mfk. Restaurant,26,3,French,-87.64016,41.932995,"432 W Diversey Pkwy, Chicago, IL 60614 ",17738572540,632,4.38461538462,0,0,3,10,13,/Restaurant_Review-g35805-d7254834-Reviews-Mfk_Restaurant-Chicago_Illinois.html
Wed 02 Mar 2016 15:07:03,Chicago,Newport Bar and Grill,594,6,2,American,-87.663521,41.944433,"1344 W. NewportChicago, IL  60657",7733259111,4.0,0,0,1,4,1,/newport-bar-and-grill,Wed 02 Mar 2016 06:20:01,Chicago,Newport Bar & Grill,3,NotFound,American,-87.663414,41.94449,"1344 W Newport Ave, Chicago, IL 60657-1412  (Southport) ",7733259111,2618,4.33333333333,0,0,1,0,2,/Restaurant_Review-g35805-d479656-Reviews-Newport_Bar_Grill-Chicago_Illinois.html
Wed 02 Mar 2016 15:07:17,Chicago,Vera,914,97,2,Spanish,-87.653189,41.885313,"1023 W LakeChicago, IL  60607",3122439770,4.325,0,8,13,31,68,/vera,Wed 02 Mar 2016 04:49:06,Chicago,Vera,32,NotFound,Spanish,-87.6532,41.885406,"1023 W Lake St, Chicago, IL 60607 ",3122439770,1303,4.1875,0,1,5,13,13,/Restaurant_Review-g35805-d3326550-Reviews-Vera-Chicago_Illinois.html
Wed 02 Mar 2016 15:08:17,Chicago,Bub City,129,716,2,Barbecue,-87.630945,41.890351,"435 N Clark StChicago, IL  60654",3126104200,3.9944,19,58,102,266,271,/bub-city,Thu 03 Mar 2016 05:19:48,Chicago,Bub City,190,3,Barbecue,-87.63086,41.89032,"435 N. Clark St, Chicago, IL 60622 ",13126104200,136,4.2789,2,4,20,77,87,/Restaurant_Review-g35805-d526761-Reviews-Bub_City-Chicago_Illinois.html
Wed 02 Mar 2016 15:09:35,Chicago,Las Fuentes Restaurant - Chicago,476,23,2,Mexican,-87.649236,41.928992,"2558 N Halsted StChicago, IL  60614",7739352004,3.5217,3,4,1,8,7,/las-fuentes-restaurant-chicago,Wed 02 Mar 2016 05:35:05,Chicago,Las Fuentes Restaurant,12,3,Mexican,-87.64925,41.928955,"2558 N Halsted St, Chicago, IL 60614-2348  (Halsted and Wrightwood) ",7739352004,2773,4.08333333333,0,1,1,6,4,/Restaurant_Review-g35805-d430778-Reviews-Las_Fuentes_Restaurant-Chicago_Illinois.html
Wed 02 Mar 2016 15:09:51,Chicago,Kiki's Bistro,442,1377,3,French,-87.635997,41.899026,"900 N. Franklin St. Chicago, IL  60610",3123355454,4.3304,18,61,98,469,728,/kikis-bistro,Wed 02 Mar 2016 03:53:41,Chicago,KiKi's Bistro,149,3,French,-87.63614,41.899204,"900 N Franklin St, Lbby 1, Chicago, IL 60610-8101  (Locust) ",3123355454,343,4.40268456376,3,5,9,44,88,/Restaurant_Review-g35805-d429393-Reviews-KiKi_s_Bistro-Chicago_Illinois.html
Wed 02 Mar 2016 15:09:53,Chicago,Swift & Sons,843,120,3,Steakhouse,-87.652654,41.887099,"1000 W. Fulton MarketChicago, IL  60607",3127339420,4.3833,0,3,19,27,71,/swift-and-sons,Thu 03 Mar 2016 01:24:16,Chicago,Swift & Sons,21,NotFound,Steakhouse,-87.65264,41.887245,"1000 West Fulton Market, Chicago, IL 60607 ",3127339420,507,4.5714,0,0,2,5,14,/Restaurant_Review-g35805-d8772232-Reviews-Swift_Sons-Chicago_Illinois.html
Wed 02 Mar 2016 15:10:16,Chicago,Allium,21,661,2,ContemporaryAmerican,-87.625628,41.899183,"120 E. Delaware Street7th FloorChicago, IL  60611",3127994900,4.2655,14,32,79,177,361,/allium-chicago,Wed 02 Mar 2016 07:11:44,Chicago,Mark Labovitz,2,NotFound,American,-87.625145,41.899338,"120 East Delaware, #1510, Chicago, IL ",3127994900,3326,4.0,0,0,0,2,0,/Restaurant_Review-g35805-d2619370-Reviews-Mark_Labovitz-Chicago_Illinois.html
Wed 02 Mar 2016 15:10:31,Chicago,Hands On Modern Thai and Sushi Bar,367,23,2,Thai,-87.80391,41.945318,"7117 W. AddisonChicago, IL  60634",7737771000,4.4348,0,1,2,6,14,/hands-on-modern-thai-and-sushi-bar,Wed 02 Mar 2016 17:57:24,Chicago,Hands On,6,NotFound,NotFound,-87.80397,41.94532,"7117 W Addison St, Chicago, IL 60634 ",7737771000,3817,3.8333,0,1,2,0,3,/Restaurant_Review-g35805-d4204711-Reviews-Hands_On-Chicago_Illinois.html
Wed 02 Mar 2016 15:11:22,Chicago,Bistro Voltaire,95,598,2,French,-87.63533,41.896606,"226 West Chicago AveChicago, IL  60654",3122650911,4.2667,16,29,56,177,322,/bistro-voltaire,Wed 02 Mar 2016 06:44:11,Chicago,Bistro Voltaire,69,3,French,-87.635345,41.89663,"226 W Chicago Avenue, Chicago, IL  (Franklin) ",3122650911,427,4.4347826087,0,3,5,20,41,/Restaurant_Review-g35805-d2545901-Reviews-Bistro_Voltaire-Chicago_Illinois.html
Wed 02 Mar 2016 15:12:29,Chicago,Villains Chicago,923,20,2,American,-87.630961,41.873,"730 S. Clark St.Chicago, IL  60605",3125830283,3.9,1,2,3,6,8,/villains-chicago,Wed 02 Mar 2016 04:41:58,Chicago,Villains Chicago,5,NotFound,NotFound,-87.630974,41.872498,"730 S Clark St, Chicago, IL 60605 ",3125830283,3660,3.8,1,0,0,2,2,/Restaurant_Review-g35805-d8696642-Reviews-Villains_Chicago-Chicago_Illinois.html
Wed 02 Mar 2016 15:12:39,Chicago,C Chicago,135,241,3,Seafood,-87.628942,41.889379,"20 W KinzieChicago, IL  60654",3122808882,4.0464,16,26,39,47,152,/c-chicago,Thu 03 Mar 2016 10:33:00,Chicago,C Chicago,77,NotFound,Seafood,-87.62958,41.88923,"20 West Kinzie, At Dearborn, Chicago, IL ",3122808882,454,4.0649,3,6,11,20,37,/Restaurant_Review-g35805-d8015064-Reviews-C_Chicago-Chicago_Illinois.html
