Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Wed 02 Mar 2016 01:52:26,Chicago,J and J Fish and Chicken,NotFound,NotFound,Seafood,-87.58627,41.77105,"6814 S Stony Island Ave, Chicago, IL 60649-1424 ",7732560100,6942,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4196199-Reviews-J_and_J_Fish_and_Chicken-Chicago_Illinois.html
Wed 02 Mar 2016 01:52:41,Chicago,McDonald's,NotFound,NotFound,NotFound,-87.676186,41.997555,"1831 W Devon Ave, Chicago, IL 60660 ",7733812252,6733,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4197357-Reviews-McDonald_s-Chicago_Illinois.html
Wed 02 Mar 2016 01:52:50,Chicago,Olympia Food Industries,1,NotFound,NotFound,-87.76639,41.785053,"5757 W 59th St, Chicago, IL 60638-3721 ",7737352250,1955,5.0,0,0,0,0,1,/Restaurant_Review-g35805-d4616574-Reviews-Olympia_Food_Industries-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:04,Chicago,Pei Wei Asian Diner,20,NotFound,Chinese,-87.621666,41.89315,"227 E Ontario St, Chicago, IL 60611-3385 ",3126603100,1354,3.9,1,2,2,8,7,/Restaurant_Review-g35805-d4915469-Reviews-Pei_Wei_Asian_Diner-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:07,Chicago,Dunkin' Donuts,NotFound,NotFound,NotFound,-87.71704,41.902172,"3601 W Grand Ave, Chicago, IL 60651 ",7733422445,5431,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d5096643-Reviews-Dunkin_Donuts-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:15,Chicago,The Bull & Bear,71,3,American,-87.633896,41.89009,"431 N Wells St, Chicago, IL 60654-4512  (Hubbard and Wells) ",3125275973,626,4.02816901408,0,4,12,33,22,/Restaurant_Review-g35805-d1169637-Reviews-The_Bull_Bear-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:19,Chicago,Haru Cafe,NotFound,NotFound,Japanese,-87.702644,41.98727,"5834 N Lincoln Ave, Chicago, IL 60659 ",7733340100,4789,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4628170-Reviews-Haru_Cafe-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:25,Chicago,Jimmy John's,1,NotFound,NotFound,-87.63259,41.8908,"501 N La Salle Dr, Chicago, IL 60654 ",3123291000,3464,4.0,0,0,0,1,0,/Restaurant_Review-g35805-d4202708-Reviews-Jimmy_John_s-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:30,Chicago,Mitchell's Soda Shop Ice Cream & Candies,NotFound,NotFound,NotFound,-87.634094,41.893204,"629 N Wells St, Chicago, IL 60654-3792 ",3129431124,6167,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4998921-Reviews-Mitchell_s_Soda_Shop_Ice_Cream_Candies-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:37,Chicago,Burrito House,NotFound,NotFound,Mexican,-87.70193,41.97215,"2915 W Argyle St, Apt E, Chicago, IL 60625 ",7732799111,5585,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4205501-Reviews-Burrito_House-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:40,Chicago,Adobo Grill,203,3,Mexican,-87.63493,41.911514,"1610 N Wells St, Chicago, IL 60614  (North Avenue and Wells St) ",3122667999,285,4.08866995074,3,11,24,92,73,/Restaurant_Review-g35805-d430775-Reviews-Adobo_Grill-Chicago_Illinois.html
Wed 02 Mar 2016 01:53:46,Chicago,Chang's Chinese Restaurant,NotFound,NotFound,Chinese,-87.71217,41.94889,"3718 N Elston Ave, Chicago, IL 60618 ",7735886906,6080,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g35805-d4202254-Reviews-Chang_s_Chinese_Restaurant-Chicago_Illinois.html
