OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Fri 25 Mar 2016 18:12:12,Houston,Black & White,63,34,3,Mediterranean,-95.387827,29.788857,"1001 StudewoodHouston, TX  77008",3469808484,3.5,5,2,6,13,8,/black-and-white-black-label,Fri 25 Mar 2016 19:01:39,Houston,Black & White,7,NotFound,American,-95.38812,29.78927,"1001 Studewood, Houston, TX 77008 ",13469808484,679,4.5714,0,0,0,3,4,/Restaurant_Review-g56003-d8049015-Reviews-Black_White-Houston_Texas.html
Fri 25 Mar 2016 18:12:24,Houston,Cyclone Anaya's -  Durham,135,22,2,Tex-Mex,-95.410362,29.775794,"1710 Durham Dr.@I-10Houston, TX  77007",7138623209,3.9545,1,1,5,6,9,/cyclone-anayas-durham,Fri 25 Mar 2016 18:59:06,Houston,Cyclone Anaya's,24,NotFound,Mexican,-95.41036,29.775795,"1710 Durham Dr, Houston, TX 77007 ",17138623209,3094,3.6667,2,2,6,6,8,/Restaurant_Review-g56003-d4200055-Reviews-Cyclone_Anaya_s-Houston_Texas.html
Fri 25 Mar 2016 18:12:30,Houston,Fratelli's Ristorante,187,57,2,Italian,-95.483721,29.794148,"1330 Wirt Rd Suite DHouston, TX  77055",7132630022,4.2632,3,1,6,15,32,/fratellis-ristorante,Fri 25 Mar 2016 18:46:18,Houston,Fratelli's Ristorante,28,3,Italian,-95.48372,29.794147,"1330 Wirt Rd, Houston, TX 77055  (Westview) ",7132630022,551,4.25,0,1,3,12,12,/Restaurant_Review-g56003-d4262892-Reviews-Fratelli_s_Ristorante-Houston_Texas.html
Fri 25 Mar 2016 18:12:36,Houston,Laurenzo's Restaurant,290,924,2,American,-95.405616,29.770686,"4412 Washington AvenueHouston, TX  77007",7138805111,4.2917,10,51,96,295,508,/laurenzos-restaurant,Fri 25 Mar 2016 18:34:54,Houston,Laurenzo's Restaurant,98,3,American,-95.40562,29.770685,"4412 Washington Ave, Houston, TX 77007  (Paterson) ",17138805111,228,4.3163,1,5,11,26,55,/Restaurant_Review-g56003-d1755680-Reviews-Laurenzo_s_Restaurant-Houston_Texas.html
Fri 25 Mar 2016 18:12:50,Houston,Fogo de Chao Brazilian Steakhouse - Houston,179,625,4,BrazilianSteakhouse,-95.511951,29.73826,"8250 Westheimer RoadHouston, TX  77063",7139786500,4.1922,21,38,95,129,357,/fogo-de-chao-brazilian-steakhouse-houston,Fri 25 Mar 2016 19:05:15,Houston,Fogo de Chao Brazilian Steakhouse,710,4,Steakhouse,-95.51193,29.738062,"8250 Westheimer Rd., Houston, TX 77063 ",7139786500,11,4.5035,10,8,57,175,461,/Restaurant_Review-g56003-d485421-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-Houston_Texas.html
Fri 25 Mar 2016 18:12:57,Houston,Kam's Wok Wine Dine,254,28,2,Chinese,-95.391474,29.732449,"4500 Montrose BlvdSuite CHouston, TX  77006",7135295057,4.0714,0,2,4,12,10,/kams-wok-wine-dine,Fri 25 Mar 2016 18:52:12,Houston,Kam’s Wok Wine Dine,47,3,Chinese,-95.3913,29.732452,"4500 Montrose Blvd Ste C, Houston, TX 77006-5842  (Woodrow) ",17135295057,562,4.234,2,0,7,14,24,/Restaurant_Review-g56003-d485154-Reviews-Kam_s_Wok_Wine_Dine-Houston_Texas.html
Fri 25 Mar 2016 18:13:33,Houston,Oka Uptown,388,14,2,Pan-Asian,-95.461966,29.743231,"2200 Post Oak Blvd.# 140Houston, TX  77056",7135521760,4.1429,1,0,2,4,7,/oka-uptown,Fri 25 Mar 2016 19:01:19,Houston,Oka,2,NotFound,NotFound,-95.46201,29.74321,"2200 Post Oak Boulevard, Suite 140, Houston, TX 77056 ",NotFound,2393,4.0,0,0,1,0,1,/Restaurant_Review-g56003-d9745126-Reviews-Oka-Houston_Texas.html
Fri 25 Mar 2016 18:13:43,Houston,KUU Restaurant,271,212,3,Japanese,-95.544132,29.782685,"947 GessnerSuite A180Houston, TX  77024",7134611688,4.32,4,11,21,45,119,/kuu-restaurant,Fri 25 Mar 2016 18:35:04,Houston,Kuu Restaurant,60,NotFound,Japanese,-95.545815,29.783321,"947 Gessner Rd, #A180, Houston, TX 77024 ",7134611688,198,4.3167,1,2,8,15,34,/Restaurant_Review-g56003-d5426525-Reviews-Kuu_Restaurant-Houston_Texas.html
Fri 25 Mar 2016 18:13:44,Houston,Benihana - Houston - Downtown,51,412,2,Japanese,-95.369672,29.756011,"1318 Louisiana StHouston, TX  77002",7136598231,3.7445,30,39,83,113,146,/benihana-houston-downtown,Fri 25 Mar 2016 18:14:13,Houston,Benihana,98,3,Japanese,-95.36948,29.756079,"1318 Louisiana St, Houston, TX 77002  (Between Clay & Polk) ",7136598231,3013,3.6224,7,10,26,25,30,/Restaurant_Review-g56003-d442343-Reviews-Benihana-Houston_Texas.html
Fri 25 Mar 2016 18:14:04,Houston,La Griglia - Houston,277,777,2,Italian,-95.409133,29.7537,"2002 West GrayHouston, TX  77019",7135264700,4.1275,20,55,111,231,383,/la-griglia-houston,Fri 25 Mar 2016 18:53:00,Houston,La Griglia,115,3,Italian,-95.40861,29.753492,"2002 W Gray St, Houston, TX 77019-3602  (Shepherd) ",7135264700,310,4.0522,3,8,18,37,49,/Restaurant_Review-g56003-d442284-Reviews-La_Griglia-Houston_Texas.html
