Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Fri 25 Mar 2016 16:19:00,Houston,Hearsay on the Green,43,NotFound,American,-95.361336,29.752956,"1515 Dallas St, Houston, TX 77010 ",17132258079,336,4.0233,1,2,9,14,17,/Restaurant_Review-g56003-d6821867-Reviews-Hearsay_on_the_Green-Houston_Texas.html
Fri 25 Mar 2016 16:20:01,Houston,Cafe 2000,NotFound,NotFound,NotFound,-95.43475,29.81111,"1919 North Loop W, Ste 160, Houston, TX 77008-1368 ",7138618515,5065,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g56003-d4204860-Reviews-Cafe_2000-Houston_Texas.html
Fri 25 Mar 2016 18:13:21,Houston,Cool Runnings Jamaican Grill,13,NotFound,NotFound,-95.52241,29.656183,"8270 W Bellfort St, Houston, TX 77071 ",7137771566,726,4.4615,0,1,0,4,8,/Restaurant_Review-g56003-d4196597-Reviews-Cool_Runnings_Jamaican_Grill-Houston_Texas.html
Fri 25 Mar 2016 18:13:28,Houston,Hong Kong Cafe,8,NotFound,Chinese,-95.54389,29.705667,"9108 Bellaire Blvd, Ste A, Houston, TX 77036-4611 ",7137729633,1058,4.375,0,1,0,2,5,/Restaurant_Review-g56003-d442612-Reviews-Hong_Kong_Cafe-Houston_Texas.html
Fri 25 Mar 2016 18:13:30,Houston,Cleburne Cafeteria,105,2,American,-95.43262,29.725632,"3606 Bissonnet St, Houston, TX 77005-2120 ",7136672386,217,4.2571,4,3,12,29,57,/Restaurant_Review-g56003-d444444-Reviews-Cleburne_Cafeteria-Houston_Texas.html
Fri 25 Mar 2016 18:13:31,Houston,Edloe Street Delicatessen,10,2,American,-95.43384,29.71615,"6119 Edloe St, Houston, TX 77005-2817 ",7136664302,867,4.8,0,0,0,2,8,/Restaurant_Review-g56003-d442249-Reviews-Edloe_Street_Delicatessen-Houston_Texas.html
Fri 25 Mar 2016 18:13:33,Houston,Luby's,5,NotFound,American,-95.50962,29.849985,"13451 Northwest Fwy, Houston, TX 77040 ",7134604949,1141,4.2,0,0,0,4,1,/Restaurant_Review-g56003-d4196640-Reviews-Luby_s-Houston_Texas.html
Fri 25 Mar 2016 18:13:34,Houston,The Perfect Cafe,11,NotFound,American,-95.53942,29.9757,"13455 Cutten Road, Houston, TX 77069 ",8329164114,671,4.7273,0,0,0,3,8,/Restaurant_Review-g56003-d3600018-Reviews-The_Perfect_Cafe-Houston_Texas.html
Fri 25 Mar 2016 18:13:37,Houston,Galleria - #2900,16,NotFound,NotFound,-95.46296,29.741488,"5000 Westheimer Rd Ste 608, Houston, TX 77056-5619 ",7138771222,885,4.3125,1,0,2,3,10,/Restaurant_Review-g56003-d442429-Reviews-Galleria_2900-Houston_Texas.html
Fri 25 Mar 2016 18:13:38,Houston,Hurricane Grill & Wings,2,NotFound,NotFound,-95.49864,29.987635,"4505 FM 1960 West, Houston, TX 77069 ",2815801386,2214,4.0,0,0,0,2,0,/Restaurant_Review-g56003-d7100035-Reviews-Hurricane_Grill_Wings-Houston_Texas.html
Fri 25 Mar 2016 18:13:40,Houston,Frank's Americana Revival,47,3,American,-95.44003,29.74168,"3736 Westheimer, Houston, TX 77027 (Formerly Frank's Chop House) (Weslayan) ",17135728600,292,4.4681,1,0,3,15,28,/Restaurant_Review-g56003-d1312669-Reviews-Frank_s_Americana_Revival-Houston_Texas.html
Fri 25 Mar 2016 18:13:42,Houston,Luigi's Pizzeria,29,NotFound,Italian,-95.37466,29.735376,"3700 Almeda Rd, Houston, TX 77004 ",2817933333,286,4.6207,0,1,2,4,22,/Restaurant_Review-g56003-d4194806-Reviews-Luigi_s_Pizzeria-Houston_Texas.html
Fri 25 Mar 2016 18:13:44,Houston,Potbelly Sandwich Works,1,NotFound,NotFound,-95.37647,29.746435,"2625 Louisiana St, Houston, TX 77006-3519 ",7134694718,1539,5.0,0,0,0,0,1,/Restaurant_Review-g56003-d5017803-Reviews-Potbelly_Sandwich_Works-Houston_Texas.html
Fri 25 Mar 2016 18:13:45,Houston,Victor's Delicatessen & Restaurant,19,NotFound,NotFound,-95.502174,29.985937,"1960 Road West, 4710 FM, Houston, TX 77069-4606 ",2815837271,590,4.3684,0,0,2,8,9,/Restaurant_Review-g56003-d484113-Reviews-Victor_s_Delicatessen_Restaurant-Houston_Texas.html
Fri 25 Mar 2016 18:13:45,Houston,Sporting News Grill,8,NotFound,NotFound,-95.55917,29.7215,"10609 Westpark Dr, Houston, TX 77042 ",7135325400,1787,3.875,0,0,2,5,1,/Restaurant_Review-g56003-d4715307-Reviews-Sporting_News_Grill-Houston_Texas.html
Fri 25 Mar 2016 18:13:47,Houston,Luby's,17,NotFound,American,-95.4024,29.695993,"1727 Old Spanish Trail, Houston, TX 77054 ",7137970078,970,4.0588,0,1,3,7,6,/Restaurant_Review-g56003-d4205248-Reviews-Luby_s-Houston_Texas.html
Fri 25 Mar 2016 18:13:48,Houston,Coppa Osteria,56,NotFound,Italian,-95.41496,29.71879,"5210 Morningside, Houston, TX ",7135223535,601,3.625,3,6,10,27,10,/Restaurant_Review-g56003-d5281616-Reviews-Coppa_Osteria-Houston_Texas.html
Fri 25 Mar 2016 18:13:49,Houston,Russo's New York Pizzeria,2,NotFound,Italian,-95.58391,29.866545,"11755 W Little York Road, #B-103, Houston, TX 77041 ",17139371111,1926,4.5,0,0,0,1,1,/Restaurant_Review-g56003-d4200615-Reviews-Russo_s_New_York_Pizzeria-Houston_Texas.html
Fri 25 Mar 2016 18:13:50,Houston,Escalante's Mexican Grille,46,2,Mexican,-95.46122,29.68584,"590 Meyerland Plz Mall, Houston, TX 77096 ",7136637080,839,3.6957,5,2,7,20,12,/Restaurant_Review-g56003-d442243-Reviews-Escalante_s_Mexican_Grille-Houston_Texas.html
Fri 25 Mar 2016 18:13:51,Houston,Pappas Bar-B-Q,5,NotFound,Barbecue,-95.21807,29.769867,"12424 I-10 East, Houston, TX 77013 ",8322144078,3040,3.8,0,1,1,1,2,/Restaurant_Review-g56003-d7064120-Reviews-Pappas_Bar_B_Q-Houston_Texas.html
Fri 25 Mar 2016 18:13:52,Houston,Miller's Cafe,11,2,American,-95.4105,29.821375,"3830 N Shepherd Dr, Houston, TX 77018-6408 ",7136992947,1632,4.6364,0,0,0,4,7,/Restaurant_Review-g56003-d471323-Reviews-Miller_s_Cafe-Houston_Texas.html
Fri 25 Mar 2016 18:13:52,Houston,French Corner The,6,NotFound,French,-95.40315,29.70321,"7000 Fannin St, Houston, TX 77030-5400 ",7133839841,1042,4.1667,0,1,0,2,3,/Restaurant_Review-g56003-d4998678-Reviews-French_Corner_The-Houston_Texas.html
Fri 25 Mar 2016 18:13:55,Houston,Tostada Regia,8,NotFound,NotFound,-95.23935,29.7741,"10801 East Fwy, Houston, TX 77029-1909 ",8322035198,880,4.875,0,0,0,1,7,/Restaurant_Review-g56003-d4197863-Reviews-Tostada_Regia-Houston_Texas.html
Fri 25 Mar 2016 18:13:55,Houston,McDonald's,4,NotFound,NotFound,-95.39806,29.93909,"392 N Sam Houston Pkwy E, Houston, TX 77060 ",2814473722,2280,4.25,0,0,1,1,2,/Restaurant_Review-g56003-d4205153-Reviews-McDonald_s-Houston_Texas.html
Fri 25 Mar 2016 18:13:56,Houston,East Wall Chinese Restaurant,9,NotFound,Chinese,-95.55444,29.704456,"9889 Bellaire Boulevard, Suite 301, Houston, TX 77036 ",7139818803,1717,4.1111,1,0,1,2,5,/Restaurant_Review-g56003-d4259481-Reviews-East_Wall_Chinese_Restaurant-Houston_Texas.html
Fri 25 Mar 2016 18:13:57,Houston,The Ultimate Taco,6,NotFound,Mexican,-95.3326,29.944204,"15655 Jfk Blvd, Ste L, Houston, TX 77032 ",2817412571,1133,4.5,0,0,0,3,3,/Restaurant_Review-g56003-d6034183-Reviews-The_Ultimate_Taco-Houston_Texas.html
Fri 25 Mar 2016 18:13:57,Houston,Pho 85,1,NotFound,Vietnamese,-95.60521,29.879559,"12933 Fm-529, Ste C, Houston, TX 77041 ",8326849085,2595,4.0,0,0,0,1,0,/Restaurant_Review-g56003-d7345150-Reviews-Pho_85-Houston_Texas.html
Fri 25 Mar 2016 18:13:58,Houston,Harlon's BBQ,1,NotFound,Barbecue,-95.46605,29.739607,"5175 Westheimer Rd., Houston, TX 77056 ",7136290447,1253,5.0,0,0,0,0,1,/Restaurant_Review-g56003-d4370575-Reviews-Harlon_s_BBQ-Houston_Texas.html
Fri 25 Mar 2016 18:14:01,Houston,Nirvana Indian Restaurant,38,2,Indian,-95.604744,29.769646,"14543 Memorial Drive, Houston, TX 77079 ",2814963232,605,4.0,2,1,5,17,13,/Restaurant_Review-g56003-d2564242-Reviews-Nirvana_Indian_Restaurant-Houston_Texas.html
Fri 25 Mar 2016 18:14:03,Houston,Smart Daddy's Pizza,2,NotFound,NotFound,-95.60788,29.934252,"11131 N Eldridge Pkwy, Ste 600, Houston, TX 77065 ",2818070000,1424,5.0,0,0,0,0,2,/Restaurant_Review-g56003-d4330388-Reviews-Smart_Daddy_s_Pizza-Houston_Texas.html
Fri 25 Mar 2016 18:14:04,Houston,Classic Pizza,1,NotFound,NotFound,-95.43461,29.97865,"13331 Kuykendahl Rd, Ste 117, Houston, TX 77090 ",2818735325,2826,4.0,0,0,0,1,0,/Restaurant_Review-g56003-d4194668-Reviews-Classic_Pizza-Houston_Texas.html
Fri 25 Mar 2016 18:14:05,Houston,Style Thai,1,NotFound,NotFound,-95.47567,29.8893,"8244 Antoine Drive, Suite W, Houston, TX 77088 ",NotFound,3536,3.0,0,0,1,0,0,/Restaurant_Review-g56003-d8605710-Reviews-Style_Thai-Houston_Texas.html
Fri 25 Mar 2016 18:14:05,Houston,Burger King,1,NotFound,NotFound,-95.31188,29.9028,"5240 Aldine Mail Rt & Hwy 59, Houston, TX 77039 ",2812277424,1367,5.0,0,0,0,0,1,/Restaurant_Review-g56003-d5601382-Reviews-Burger_King-Houston_Texas.html
Fri 25 Mar 2016 18:14:08,Houston,Pueblo Viejo Mexican Restaurant,9,NotFound,Mexican,-95.186874,29.794115,"364 Uvalde Rd., Houston, TX 77015 ",7134554774,3776,2.3333,3,2,3,0,1,/Restaurant_Review-g56003-d4274479-Reviews-Pueblo_Viejo_Mexican_Restaurant-Houston_Texas.html
Fri 25 Mar 2016 18:14:08,Houston,Lexington Grill,38,2,American,-95.40985,29.731407,"2005 Lexington St, Houston, TX 77098-4221 ",7135249877,394,4.5526,1,0,4,5,28,/Restaurant_Review-g56003-d445951-Reviews-Lexington_Grill-Houston_Texas.html
