OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Thu 03 Mar 2016 23:03:42,London,Fantasia Palace,788,20,2,Greek,-0.171334,51.518039,"28 Praed StreetPaddingtonLondon,   W2 1NH",2081275422,3.75,1,3,4,4,8,/fantasia-palace,Tue 08 Mar 2016 23:36:23,London,Fantasia Palace,106,NotFound,Greek,-0.171351,51.518105,"Fantasia Palace | 28 Praed Street, London W2 1NH, England ",442081275422,3153,3.9815,5,6,15,42,40,/Restaurant_Review-g186338-d3633135-Reviews-Fantasia_Palace-London_England.html
Thu 03 Mar 2016 23:03:49,London,Noor Jahan,1551,91,2,Indian,-0.18299,51.491104,"2a Bina GardensLondon,   SW5 0LA",2073736522,3.4917,11,17,29,28,35,/noor-jahan,Fri 04 Mar 2016 00:35:45,London,Noor Jahan,174,4,Indian,-0.182933,51.491154,"2a Bina Gardens | Gloucester Road, London SW5 0LA, England ",4402073736522,4013,3.8276,17,13,22,53,69,/Restaurant_Review-g186338-d733987-Reviews-Noor_Jahan-London_England.html
Thu 03 Mar 2016 23:04:06,London,The Stag Hampstead,2040,89,2,British,-0.161642,51.55339,"67 Fleet RoadLondon,   NW3 2QU",2077222646,4.0583,3,6,12,59,40,/the-stag-hampstead,Tue 08 Mar 2016 23:23:01,London,The Stag,79,NotFound,British,-0.161633,51.553406,"67 Fleet Road | Belsize Park, London NW3 2QU, England ",442077222646,4839,3.9114,8,5,7,25,34,/Restaurant_Review-g186338-d2228340-Reviews-The_Stag-London_England.html
Thu 03 Mar 2016 23:04:13,London,The Maynard Arms,1433,60,2,British,-0.126543,51.58172,"70 Park RoadCrouch EndLondon,   N8 8SX",2083416283,3.75,4,6,10,46,14,/the-maynard-arms,Tue 08 Mar 2016 23:52:16,London,The Maynard Arms,82,NotFound,British,-0.1263,51.581676,"70 Park Road | Crouch End, London N8 8SX, England ",442083416283,7592,3.378,6,21,11,24,20,/Restaurant_Review-g186338-d2558115-Reviews-The_Maynard_Arms-London_England.html
Thu 03 Mar 2016 23:04:17,London,Razisthani Spice & Grill,1793,2,2,Indian,-0.038059,51.512856,"663 Commercial RdLondon,   E14 7LW",2070011001,3.5,0,0,1,1,0,/razisthani-spice-and-grill,Tue 08 Mar 2016 23:54:17,London,Rajistani Sprice and Grill,27,NotFound,Indian,-0.0378,51.512814,"663 Commercial Road, London E14 7LW, England ",02070011001,5034,4.2222,1,1,4,6,15,/Restaurant_Review-g186338-d7082809-Reviews-Rajistani_Sprice_and_Grill-London_England.html
Thu 03 Mar 2016 23:04:33,London,German Gymnasium Grand Cafe,901,29,3,German,-0.125079,51.532927,"1 Kings BoulevardKings CrossLondon,   N1C 4BU",2072878000,4.0,0,1,5,17,7,/german-gymnasium-grand-cafe,Tue 08 Mar 2016 23:38:57,London,German Gymnasium,244,NotFound,German,-0.124638,51.53338,"1 King's Boulevard | 26 Pancras Road, London N1C 4BU, England ",442072878000,958,3.9522,10,19,42,82,98,/Restaurant_Review-g186338-d8803043-Reviews-German_Gymnasium-London_England.html
Thu 03 Mar 2016 23:04:44,London,Zizzi - Greenwich,2341,26,2,Italian,-0.009033,51.482772,"Unit W2Greenwich PromenadeLondon,   SE10 9HT",NotFound,3.5385,2,2,6,12,4,/zizzi-greenwich,Sat 05 Mar 2016 02:24:37,London,Zizzi - Greenwich,184,2,Italian,-0.00987,51.48238,"Unit W2, Greenwich Promenade (Pier) | Cutty Sark Gardens, London SE10 9HT, England (Formerly Zizzi)",02082690808,4689,3.5435,23,18,30,62,51,/Restaurant_Review-g186338-d3222083-Reviews-Zizzi_Greenwich-London_England.html
Thu 03 Mar 2016 23:04:49,London,Sartori,1910,761,2,Italian,-0.128394,51.511859,"15-18 Great Newport StreetLondon,   WC2H 7JE",2078366308,4.2262,10,25,67,370,328,/sartori,Tue 08 Mar 2016 23:39:51,London,Sartori,953,NotFound,Italian,-0.127996,51.5117,"15-18 Great Newport Street | Near Covent Garden, London WC2H 7JE, England ",02078366308,429,4.1878,26,49,88,347,443,/Restaurant_Review-g186338-d2038485-Reviews-Sartori-London_England.html
Thu 03 Mar 2016 23:04:58,London,Machete,1358,5,2,TraditionalMexican,-0.044661,51.5377,"91 Lauriston RdLondon,   E9 7HJ",2085333100,3.4,1,0,1,2,1,/machete,Tue 08 Mar 2016 22:38:10,London,Machete,45,2,Mexican,-0.04466,51.5377,"91 Lauriston Road, London E9 7HJ, England ",442085333100,6995,3.7333,5,4,4,17,15,/Restaurant_Review-g186338-d4283366-Reviews-Machete-London_England.html
Thu 03 Mar 2016 23:05:54,London,Little Social,1310,637,3,French,-0.142158,51.513535,"5 Pollen StreetLondon,   W1S 1NE",2078703730,4.3109,5,22,62,231,320,/little-social,Tue 08 Mar 2016 23:09:47,London,Little Social,392,4,British,-0.142217,51.51354,"5 Pollen Street, London W1S 1 NE, England ",442078703732,235,4.362,6,12,40,112,225,/Restaurant_Review-g186338-d4041617-Reviews-Little_Social-London_England.html
