OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Thu 03 Mar 2016 01:46:58,LosAngeles,Gaucho Grill - Brentwood,898,308,2,Steakhouse,-118.46718,34.053186,"11754 San Vicente BlvdLos Angeles, CA  90049",8186157555,3.8414,12,25,58,119,95,/gaucho-grill-brentwood,Fri 04 Mar 2016 01:08:51,LosAngeles,Gaucho Grill,35,3,Steakhouse,-118.46768,34.052998,"11754 San Vicente Blvd, Los Angeles, CA 90049-5010 ",3104477898,1035,4.0,1,1,7,14,12,/Restaurant_Review-g32655-d472475-Reviews-Gaucho_Grill-Los_Angeles_California.html
Thu 03 Mar 2016 01:52:44,LosAngeles,La Cava,1222,138,2,Italian,-118.429315,34.147921,"13565 Ventura BlvdSherman Oaks, CA  91423",8189811517,4.1367,2,11,20,39,67,/la-cava,Fri 04 Mar 2016 08:49:08,LosAngeles,La Cava,19,3,Italian,-118.42926,34.14793,"13565 Ventura Blvd, Sherman Oaks, Los Angeles, CA ",8189811517,1490,4.1053,2,1,0,6,10,/Restaurant_Review-g32655-d2458942-Reviews-La_Cava-Los_Angeles_California.html
Thu 03 Mar 2016 01:54:09,LosAngeles,Tanino,2272,686,3,Italian,-118.4453,34.0617,"1043 Westwood Blvd.Los Angeles, CA  90024",3102080444,4.0816,11,52,95,240,288,/tanino,Thu 03 Mar 2016 20:49:48,LosAngeles,Tanino,62,3,Italian,-118.44566,34.06167,"1043 Westwood Blvd, Los Angeles, CA 90024  (Weyburn/ Kinross) ",3102080444,616,4.1613,1,4,7,22,28,/Restaurant_Review-g32655-d379066-Reviews-Tanino-Los_Angeles_California.html
Thu 03 Mar 2016 01:58:54,LosAngeles,Katsuya- Brentwood,1172,847,3,Japanese,-118.468331,34.053517,"11777 San Vicente BlvdBrentwood, CA  90049",3102992058,3.9516,23,71,152,279,322,/katsuya-brentwood,Fri 04 Mar 2016 06:45:31,LosAngeles,Katsuya,88,4,Japanese,-118.46841,34.0535,"11777 San Vicente Blvd, Ste 120, Los Angeles, CA 90049  (Montana) ",13102078744,237,4.2955,2,6,5,26,49,/Restaurant_Review-g32655-d1183554-Reviews-Katsuya-Los_Angeles_California.html
Thu 03 Mar 2016 02:03:48,LosAngeles,Gordon Biersch Brewery Restaurant - Burbank,940,3,2,American,-118.308158,34.180046,"145 S San Fernando BlvdBurbank, CA  91502",8185695240,4.0,0,0,1,1,1,/gordon-biersch-brewery-restaurant-burbank,Fri 25 Mar 2016 19:01:00,Burbank,Gordon Biersch Brewery Restaurant,96,2,American,-118.3081,34.180096,"145 S San Fernando Blvd, Burbank, CA 91502-1322 ",8185695240,8,4.1458,0,3,17,39,37,/Restaurant_Review-g32123-d364930-Reviews-Gordon_Biersch_Brewery_Restaurant-Burbank_California.html
Thu 03 Mar 2016 02:10:42,LosAngeles,"Obica Mozzarella Bar, Pizza e Cucina - Santa Monica",1635,6,2,Italian,-118.491247,34.016704,"606 BroadwaySanta Monica, CA  90401",3103936633,3.8571,0,1,2,1,3,/obica-mozzarella-bar-pizza-e-cucina-santa-monica,Fri 25 Mar 2016 18:41:54,SantaMonica,Obica - Santa Monica,1,NotFound,NotFound,-118.49121,34.01665,"606 Broadway, Santa Monica, CA 90401 ",3103936633,270,5.0,0,0,0,0,1,/Restaurant_Review-g33052-d10061224-Reviews-Obica_Santa_Monica-Santa_Monica_California.html
Thu 03 Mar 2016 02:12:26,LosAngeles,CiaoCristina!,540,1,2,Italian,-118.342494,34.148116,"4201 West Olive Ave.Toluca Lake, CA  91505",8185632426,5.0,0,0,0,0,1,/ciaocristina-toluca-lake,Fri 25 Mar 2016 18:58:22,Burbank,CiaoCristina!,70,2,Italian,-118.34249,34.14811,"4201 W. Olive Ave., Burbank, CA 91505 ",8185632426,19,4.3286,2,2,5,23,38,/Restaurant_Review-g32123-d1874935-Reviews-CiaoCristina-Burbank_California.html
Thu 03 Mar 2016 02:12:47,LosAngeles,Café Med  - WH,403,16,2,Italian,-118.379519,34.092681,"8615 W Sunset BlvdWest Hollywood, CA  90069-2301",3106520445,4.1875,1,1,2,2,10,/cafe-med-wh,Fri 25 Mar 2016 18:57:18,WHolly,Cafe Med,123,3,Italian,-118.37951,34.092632,"8615 W Sunset Blvd, West Hollywood, CA 90069-2301 ",3106520445,40,4.0081,4,6,19,50,44,/Restaurant_Review-g33252-d350475-Reviews-Cafe_Med-West_Hollywood_California.html
Thu 03 Mar 2016 02:15:31,LosAngeles,Goldie's,937,142,2,Californian,-118.374022,34.073,"8422 W. 3rd St.West Hollywood, CA  90048",3236772470,4.175,2,10,26,42,80,/goldies,Thu 03 Mar 2016 06:06:52,LosAngeles,Goldies,14,NotFound,American,-118.37398,34.0731,"8422 West 3rd Street, Los Angeles, CA ",NotFound,1020,4.3571,0,0,2,5,7,/Restaurant_Review-g32655-d4108507-Reviews-Goldies-Los_Angeles_California.html
Thu 03 Mar 2016 02:19:18,LosAngeles,Gaucho's Village,901,159,3,Brazilian,-118.254183,34.147601,"135 N Maryland AveGlendale, CA  91206",8185501430,3.8805,12,14,27,34,72,/gauchos-village,Sat 26 Mar 2016 08:32:12,Glendale,Gaucho's Village,47,3,Brazilian,-118.25419,34.147602,"135 N. Maryland Ave, Glendale, CA 91206  (Lexington) ",18185501430,33,3.9362,2,5,6,15,19,/Restaurant_Review-g32431-d903166-Reviews-Gaucho_s_Village-Glendale_California.html
