Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Thu 03 Mar 2016 01:45:25,LosAngeles,Panda Express,4,NotFound,Chinese,-118.49881,34.27203,"16830 San Fernando Mission Blvd, Granada Hills, Los Angeles, CA 91344-4247 ",8188319968,2872,4.25,0,0,0,3,1,/Restaurant_Review-g32655-d360441-Reviews-Panda_Express-Los_Angeles_California.html
Thu 03 Mar 2016 01:46:11,LosAngeles,California Teriyaki Grill,NotFound,NotFound,NotFound,-118.28245,34.01705,"3742 S Figueroa St, Los Angeles, CA 90007 ",2137441910,6201,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g32655-d4975430-Reviews-California_Teriyaki_Grill-Los_Angeles_California.html
Thu 03 Mar 2016 01:46:44,LosAngeles,Sattdown Jamaican Grill,7,NotFound,Caribbean,-118.37655,34.140064,"11320 Ventura Blvd, Los Angeles, CA 91604-3137 ",8187663696,2347,4.1429,0,0,1,4,2,/Restaurant_Review-g32655-d2332320-Reviews-Sattdown_Jamaican_Grill-Los_Angeles_California.html
Thu 03 Mar 2016 01:46:57,LosAngeles,Hollywood & Vine,21,NotFound,American,-118.32617,34.1016,"6263 Hollywood Boulevard, Los Angeles, CA 90028 ",3234642345,3415,3.4762,3,1,7,3,7,/Restaurant_Review-g32655-d680110-Reviews-Hollywood_Vine-Los_Angeles_California.html
Thu 03 Mar 2016 01:47:29,LosAngeles,Terikiss,NotFound,NotFound,NotFound,-118.29856,34.063137,"3500 W 6th St, Ste 228, Los Angeles, CA 90020 ",2132529292,7386,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g32655-d4643184-Reviews-Terikiss-Los_Angeles_California.html
Thu 03 Mar 2016 01:47:50,LosAngeles,McDonald's,1,NotFound,NotFound,-118.4672,34.22806,"8656 Sepulveda Blvd, Los Angeles, CA 91343 ",8188305660,2149,5.0,0,0,0,0,1,/Restaurant_Review-g32655-d5106118-Reviews-McDonald_s-Los_Angeles_California.html
Thu 03 Mar 2016 01:48:22,LosAngeles,Magic Johnson's Starbucks,NotFound,NotFound,Cafe,-118.37254,33.97726,"5301 West Centinela Av, Los Angeles, CA ",NotFound,7801,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g32655-d3349607-Reviews-Magic_Johnson_s_Starbucks-Los_Angeles_California.html
Thu 03 Mar 2016 01:48:38,LosAngeles,House of Pies,67,2,American,-118.29179,34.10492,"1869 N Vermont Ave, Los Angeles, CA 90027-4212 ",3236669961,347,4.0,2,4,12,23,26,/Restaurant_Review-g32655-d360502-Reviews-House_of_Pies-Los_Angeles_California.html
Thu 03 Mar 2016 01:49:07,LosAngeles,Raffaello Ristorante,125,NotFound,Italian,-118.2877,33.740402,"400 S Pacific Ave, Los Angeles, CA 90731-2626 ",3105140900,23,4.656,1,1,3,30,90,/Restaurant_Review-g32655-d446648-Reviews-Raffaello_Ristorante-Los_Angeles_California.html
Thu 03 Mar 2016 01:49:35,LosAngeles,Monty's Steakhouse,31,4,Steakhouse,-118.606346,34.16782,"5371 Topanga Canyon Blvd., Los Angeles, CA 91364  (Ventura Boulevard) ",8187169736,1146,3.7097,4,2,4,10,11,/Restaurant_Review-g32655-d1316479-Reviews-Monty_s_Steakhouse-Los_Angeles_California.html
