OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Fri 25 Mar 2016 13:21:00,Manhattan,Bernheim & Schwartz,291,15,2,American,-73.965342,40.8066,"2911 BroadwayNew York, NY  10025",2123352911,3.8667,0,2,4,3,6,/bernheim-and-schwartz,Thu 03 Mar 2016 10:10:21,NewYork,Bernheim and Schwartz,16,NotFound,NotFound,-73.96475,40.80667,"2911 Broadway Between 113th and 114th Streets, New York City, NY ",2123352911,6612,3.3125,1,1,6,8,0,/Restaurant_Review-g60763-d7174895-Reviews-Bernheim_and_Schwartz-New_York_City_New_York.html
Fri 25 Mar 2016 13:21:21,Manhattan,Bara,232,19,2,French/Japanese,-73.989144,40.723947,"58 East 1st StreetNew York, NY  10003",9176393197,4.3,1,0,2,6,11,/bara,Fri 04 Mar 2016 13:05:04,NewYork,Bara,4,NotFound,French,-73.98914,40.723946,"58 East 1st Street, New York City, NY ",9176393197,5373,4.25,0,0,0,3,1,/Restaurant_Review-g60763-d7371154-Reviews-Bara-New_York_City_New_York.html
Fri 25 Mar 2016 13:22:48,Manhattan,212 Steakhouse,15,276,3,Steakhouse,-73.96653,40.756275,"316 East 53rd StreetNew York, NY  10022",2128580646,3.9429,21,20,40,72,127,/212-steakhouse,Thu 03 Mar 2016 21:53:14,NewYork,212 Steakhouse,90,NotFound,Wine Bar,-73.96654,40.75627,"316 E 53rd Street, New York City, NY 10022 ",12128580646,2530,3.8333,9,8,11,23,39,/Restaurant_Review-g60763-d6844693-Reviews-212_Steakhouse-New_York_City_New_York.html
Fri 25 Mar 2016 13:23:55,Manhattan,Altesi Ristorante,90,177,3,Italian,-73.969575,40.766662,"26 E 64th StreetNew York, NY  10065",2127598900,4.29,5,6,22,60,107,/altesi-ristorante,Thu 03 Mar 2016 15:27:09,NewYork,Ristorante Altesi,47,NotFound,Italian,-73.96958,40.7667,"26 East 64th Street, New York City, NY 10065 ",2127598900,1522,4.2766,2,1,4,15,25,/Restaurant_Review-g60763-d6872546-Reviews-Ristorante_Altesi-New_York_City_New_York.html
Fri 25 Mar 2016 13:24:27,Manhattan,American Cut,102,359,3,Steakhouse,-74.010204,40.719304,"363 Greenwich StreetNew York, NY  10013",NotFound,4.2167,10,22,46,84,198,/american-cut,Fri 04 Mar 2016 11:46:45,NewYork,American Cut,93,NotFound,American,-74.01031,40.71922,"363 Greenwich Street, New York City, NY 10013 ",NotFound,1499,4.0645,3,6,12,33,39,/Restaurant_Review-g60763-d5327176-Reviews-American_Cut-New_York_City_New_York.html
Fri 25 Mar 2016 13:26:11,Manhattan,5 Napkin Burger - Hell's Kitchen,27,2675,2,American,-73.991363,40.760161,"630 9th AvenueNew York, NY  10036",2127572277,4.0034,31,135,469,1164,841,/5-napkin-burger-hells-kitchen,Fri 04 Mar 2016 11:04:53,NewYork,5 Napkin Burger,664,NotFound,American,-73.99114,40.760185,"630 9th Ave, New York City, NY 10036 ",2127572277,138,4.3088,7,8,67,275,310,/Restaurant_Review-g60763-d4737024-Reviews-5_Napkin_Burger-New_York_City_New_York.html
Fri 25 Mar 2016 13:27:01,Manhattan,46 Sushi Seki Bar and Oysters,22,10,3,Sushi,-73.990075,40.760955,"365 West 46th StreetNew York, NY  10036",2122628880,4.6,0,0,0,4,6,/46-sushi-seki-bar-and-oysters,Thu 03 Mar 2016 11:06:12,NewYork,Sushi Seki,NotFound,4,NotFound,-73.99023,40.76083,"365 West 46th Street, New York City, NY 10036 ",12122628880,9931,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d8830064-Reviews-Sushi_Seki-New_York_City_New_York.html
Fri 25 Mar 2016 13:28:08,Manhattan,Balthazar,213,1663,3,French,-73.998237,40.722759,"80 Spring StreetNew York, NY  10012",2129651414,4.1968,38,92,186,453,791,/balthazar,Fri 04 Mar 2016 12:44:32,NewYork,Balthazar,4033,4,French,-73.99822,40.722603,"80 Spring St, New York City, NY 10012 ",2129651414,137,4.3011,61,108,432,1388,2046,/Restaurant_Review-g60763-d423353-Reviews-Balthazar-New_York_City_New_York.html
Fri 25 Mar 2016 13:38:11,Manhattan,Barbaresco,236,157,3,Italian,-73.965699,40.765459,"843 Lexington Ave.New York, NY  10065",2125172288,4.0812,0,9,17,86,48,/barbaresco-new-york,Fri 04 Mar 2016 16:25:01,NewYork,Barbaresco,85,4,Italian,-73.9656,40.765408,"843 Lexington Ave Frnt 1, New York City, NY 10065-6634  (64 Street) ",2125172288,2807,4.0824,7,1,8,31,38,/Restaurant_Review-g60763-d1006965-Reviews-Barbaresco-New_York_City_New_York.html
Fri 25 Mar 2016 13:38:39,Manhattan,The Clam,571,265,3,Seafood,-74.006655,40.730335,"420 Hudson StreetNew York, NY  10014",2122427420,4.5429,0,6,22,66,186,/the-clam,Fri 04 Mar 2016 11:47:23,NewYork,The Clam,53,NotFound,American,-74.00663,40.730324,"420 Hudson Street, New York City, NY 10014 ",12122427420,1124,4.4528,1,0,5,15,32,/Restaurant_Review-g60763-d6414729-Reviews-The_Clam-New_York_City_New_York.html
