OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Thu 03 Mar 2016 01:26:59,Miami,Big Fish,87,88,3,Italian,-80.18403,25.846902,"620 NE 78 StMiami, FL  33138",3053731770,3.8083,6,16,19,33,46,/big-fish-miami,Thu 03 Mar 2016 03:15:46,Miami,Big Fish,76,4,Italian,-80.184006,25.846773,"620 NE 78 St, Miami, FL 33138 ",13053731770,2090,3.1842,17,8,16,14,21,/Restaurant_Review-g34438-d4194042-Reviews-Big_Fish-Miami_Florida.html
Thu 03 Mar 2016 01:27:14,Miami,La Locanda,417,88,2,Italian,-80.134115,25.77398,"419 Washington AvenueMiami Beach, FL  33139",3055386277,4.2083,3,6,8,49,54,/la-locanda,Fri 25 Mar 2016 23:25:39,MiamiBeach,La Locanda,510,3,Italian,-80.13404,25.773968,"419 Washington Ave, Miami Beach, FL 33139-6617  (Fifth Street) ",3055386277,61,4.3765,9,16,33,168,284,/Restaurant_Review-g34439-d438262-Reviews-La_Locanda-Miami_Beach_Florida.html
Thu 03 Mar 2016 01:28:10,Miami,Azul - Mandarin Oriental Miami,47,828,4,ContemporaryAmerican,-80.18596,25.765762,"500 Brickell Key DriveMiami, FL  33131",3059138358,4.2714,11,64,106,164,495,/azul-mandarin-oriental-miami-miami,Thu 03 Mar 2016 10:51:54,Miami,Azul at Mandarin Oriental,394,4,American,-80.18514,25.765413,"500 Brickell Key Drive, Miami, FL 33131  (Brickell Key Drive) ",13059138358,42,4.3096,13,18,36,94,233,/Restaurant_Review-g34438-d431879-Reviews-Azul_at_Mandarin_Oriental-Miami_Florida.html
Thu 03 Mar 2016 01:28:42,Miami,Grille 401,340,500,2,ContemporaryAmerican,-80.138923,26.119329,"401 East Las Olas Blvd. Suite 280Fort Lauderdale, FL  33301",9547670222,4.3135,12,19,53,146,290,/grille-401,Sat 26 Mar 2016 00:02:18,ForL,Grille 401,204,2,American,-80.138824,26.119448,"401 E. Las Olas Blvd., Fort Lauderdale, FL 33301  (Las Olas and SE 5th Ave.) ",19547670222,106,4.152,8,9,24,66,97,/Restaurant_Review-g34227-d3524894-Reviews-Grille_401-Fort_Lauderdale_Florida.html
Thu 03 Mar 2016 01:28:53,Miami,Hard Rock Cafe - Miami,350,3,2,American,-80.185572,25.777355,"401 Biscayne BlvdMiami, FL  33132",3053773110,1.6667,1,2,0,0,0,/hard-rock-cafe-miami,Thu 03 Mar 2016 06:22:39,Miami,Hard Rock Cafe,1493,3,American,-80.18451,25.777496,"401 Biscayne Blvd, Ste R200, Miami, FL 33132-1967 ",3053773110,52,3.9571,55,89,253,564,532,/Restaurant_Review-g34438-d466646-Reviews-Hard_Rock_Cafe-Miami_Florida.html
Thu 03 Mar 2016 01:30:04,Miami,The Gang Miami,322,38,3,Asian,-80.195588,25.809795,"3500 N. Miami AvenueMiami, FL  33127",3055709430,4.2821,1,2,4,10,22,/the-gang-miami,Thu 03 Mar 2016 03:35:09,Miami,The Gang Miami,44,4,Asian,-80.19559,25.809795,"3500 N Miami Ave, Miami, FL 33127 ",13055709430,174,4.3864,0,1,7,10,26,/Restaurant_Review-g34438-d6868906-Reviews-The_Gang_Miami-Miami_Florida.html
Thu 03 Mar 2016 01:30:57,Miami,Mario the Baker Midtown,475,1,2,Italian,-80.189891,25.800706,"250 NE 25th St.Miami, FL  33137",3054380228,1.0,1,0,0,0,0,/mario-the-baker-midtown,Thu 03 Mar 2016 03:52:43,Miami,Mario The Baker,3,NotFound,NotFound,-80.189835,25.800758,"250 NE 25th St, Ste 101, Miami, FL 33137 ",3054380228,873,4.6667,0,0,0,1,2,/Restaurant_Review-g34438-d4207854-Reviews-Mario_The_Baker-Miami_Florida.html
Thu 03 Mar 2016 01:32:46,Miami,The Restaurant at The Raleigh,627,256,2,ContemporaryAmerican,-80.13,25.794,"1775 Collins AveMiami Beach, FL  33139",3056121163,3.832,11,39,29,80,97,/the-restaurant-at-the-raleigh,Fri 25 Mar 2016 22:11:00,MiamiBeach,The Restaurant at The Raleigh,251,3,American,-80.12909,25.793655,"1775 Collins Avenue, The Raleigh Miami Beach, Miami Beach, FL 33139 (Formerly The Royal at the Raleigh) (18th Street & Collins Avenue) ",13055346300,153,4.1753,8,16,27,73,127,/Restaurant_Review-g34439-d622709-Reviews-The_Restaurant_at_The_Raleigh-Miami_Beach_Florida.html
Thu 03 Mar 2016 01:34:43,Miami,The Forge,309,1482,3,Steakhouse,-80.128459,25.81382,"432 W. Forty First StreetMiami Beach, FL  33140",3055388533,4.0162,72,141,212,324,734,/the-forge,Fri 25 Mar 2016 22:23:10,MiamiBeach,The Forge,663,4,Steakhouse,-80.12846,25.813631,"432 W 41st St, Miami Beach, FL 33140  (Royal Palm Ave & Sheridian Ave) ",13055388533,31,4.1674,42,41,63,135,382,/Restaurant_Review-g34439-d431886-Reviews-The_Forge-Miami_Beach_Florida.html
Thu 03 Mar 2016 01:34:55,Miami,StripSteak by Michael Mina,721,137,3,Steak,-80.122103,25.817925,"4441 Collins AvenueMiami Beach, FL  33140",8773267412,4.0562,8,17,19,30,86,/restaurant/profile/33820,Fri 25 Mar 2016 22:51:14,MiamiBeach,Hakkasan,1280,4,Chinese,-80.122345,25.817865,"4441 Collins Ave, Fontainebleau Resort, Miami Beach, FL 33140  (44th & Collins) ",18773267412,18,4.432,33,47,99,256,845,/Restaurant_Review-g34439-d1464865-Reviews-Hakkasan-Miami_Beach_Florida.html
Thu 03 Mar 2016 01:35:33,Miami,Asia Bay Sushi Bar & Thai,42,303,3,Sushi,-80.131817,26.119808,"1111 E. Las Olas Blvd.Fort Lauderdale, FL  33301",9548489900,4.0693,7,19,49,99,129,/asia-bay-sushi-bar-and-thai,Fri 25 Mar 2016 23:56:20,ForL,Asia Bay Sushi Bar & Thai,238,4,Japanese,-80.13177,26.11946,"1111 East Las Olas Blvd., Fort Lauderdale, FL 33301  (SE 10th Terrace-SE 12th Ave) ",9548489900,59,4.3138,3,10,19,84,123,/Restaurant_Review-g34227-d1957069-Reviews-Asia_Bay_Sushi_Bar_Thai-Fort_Lauderdale_Florida.html
