Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Thu 03 Mar 2016 01:27:26,Miami,Pronto Pizza Express,NotFound,NotFound,NotFound,-80.36895,25.74661,"10770 SW 24th St, Miami, FL 33165 ",3055545555,2941,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g34438-d4194010-Reviews-Pronto_Pizza_Express-Miami_Florida.html
Thu 03 Mar 2016 01:27:41,Miami,Area 31,690,3,Seafood,-80.18956,25.770216,"270 Biscayne Blvd Way, EPIC Hotel, Miami, FL 33131  (Brickell Ave) ",13054245234,22,4.1594,29,42,79,180,360,/Restaurant_Review-g34438-d1371138-Reviews-Area_31-Miami_Florida.html
Thu 03 Mar 2016 01:27:48,Miami,Kon Chau,58,NotFound,Chinese,-80.33122,25.732492,"8376 Bird Rd, Miami, FL 33155-3355 ",3055537799,360,4.1207,3,1,5,26,23,/Restaurant_Review-g34438-d518530-Reviews-Kon_Chau-Miami_Florida.html
Thu 03 Mar 2016 01:27:54,Miami,Sake Room,45,NotFound,Japanese,-80.18899,25.79375,"1800 Biscayne Blvd, Miami, FL 33137 ",3057550122,495,4.1333,6,1,1,10,27,/Restaurant_Review-g34438-d952210-Reviews-Sake_Room-Miami_Florida.html
Thu 03 Mar 2016 01:27:58,Miami,Wine Vault,4,NotFound,NotFound,-80.19452,25.807484,"3201 N Miami Ave, Miami, FL 33127-3521 ",7866912000,1769,3.5,0,0,2,2,0,/Restaurant_Review-g34438-d4915414-Reviews-Wine_Vault-Miami_Florida.html
Thu 03 Mar 2016 01:28:07,Miami,La Palma Latin Cafe,17,NotFound,Spanish,-80.21848,25.76575,"Calle Ocho, Little Havanna, Miami, FL ",NotFound,876,4.1667,1,0,3,5,9,/Restaurant_Review-g34438-d1741085-Reviews-La_Palma_Latin_Cafe-Miami_Florida.html
Thu 03 Mar 2016 01:28:13,Miami,Chef Chen Chinese Restaurant,4,NotFound,Chinese,-80.38083,25.68748,"11557 N Kendall Dr, Miami, FL 33176 ",3052746799,1416,4.25,0,0,0,3,1,/Restaurant_Review-g34438-d4192730-Reviews-Chef_Chen_Chinese_Restaurant-Miami_Florida.html
Thu 03 Mar 2016 01:28:16,Miami,El Gran Mar De Plata,1,2,Spanish,-80.440765,25.671408,"10325 Hammocks Boulevard, Miami, FL 33196 ",13053866638,2177,4.0,0,0,0,1,0,/Restaurant_Review-g34438-d7892012-Reviews-El_Gran_Mar_De_Plata-Miami_Florida.html
Thu 03 Mar 2016 01:28:22,Miami,Grill It,16,NotFound,International,-80.2905,25.778389,"5799 NW 7th St, Airpark Plaza, Miami, FL 33126-3105 ",3052647600,750,4.0625,0,1,1,10,4,/Restaurant_Review-g34438-d2707108-Reviews-Grill_It-Miami_Florida.html
Thu 03 Mar 2016 01:28:25,Miami,La Ceiba Restaurant and Cafe,NotFound,2,Caribbean,-80.29619,25.763302,"6212 SW 8th St, Miami, FL 33144 ",3053168136,2286,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g34438-d8732130-Reviews-La_Ceiba_Restaurant_and_Cafe-Miami_Florida.html
