OTTime,OTCity,OTName,OTIndex,OTReviewCount,OTPrice,OTCuisine,OTLongitude,OTLatitude,OTAddress,OTPhoneNumber,OTMeanRating,OT1,OT2,OT3,OT4,OT5,OTLink,TATime,TACity,TAName,TAReviewCount,TAPrice,TACuisine,TALongitude,TALatitude,TAAddress,TAPhoneNumber,TARanking,TAMeanRating,TA1,TA2,TA3,TA4,TA5,TALink
Fri 25 Mar 2016 18:10:34,SanFran,Bask,76,267,2,Basque,-122.403989,37.796272,"42 Columbus AvenueSan Francisco, CA  94111",4153922275,3.9964,11,21,35,104,109,/bask-san-francisco,Thu 03 Mar 2016 14:16:43,SanFran,Bask,76,3,Mediterranean,-122.40403,37.79627,"42 Columbus Avenue, San Francisco, CA 94111  (Jackson) ",4153922275,517,4.2895,1,2,9,26,38,/Restaurant_Review-g60713-d3235657-Reviews-Bask-San_Francisco_California.html
Fri 25 Mar 2016 18:10:52,SanFran,Okane,465,6,2,Japanese,-122.402893,37.770543,"669 Townsend StreetSan Francisco, CA  94103",4158659788,4.1429,0,0,2,2,3,/okane,Thu 03 Mar 2016 12:40:54,SanFran,Okane,NotFound,NotFound,Japanese,-122.40289,37.770542,"669 Townsend St, San Francisco, CA 94103 ",4158650633,3927,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60713-d9757671-Reviews-Okane-San_Francisco_California.html
Fri 25 Mar 2016 18:11:09,SanFran,Pier Market Seafood Restaurant - Pier 39 SF,525,207,2,Seafood,-122.410097,37.809309,"Pier 39San Francisco, CA  94133",4159897437,3.875,5,25,43,89,78,/pier-market-seafood-restaurant-pier-39-sf,Thu 03 Mar 2016 13:22:25,SanFran,Pier Market,984,2,American,-122.41048,37.809914,"39 PIier #103, San Francisco, CA 94133-1010  (Embarcadero) ",4159897437,84,4.1218,14,32,141,431,367,/Restaurant_Review-g60713-d480544-Reviews-Pier_Market-San_Francisco_California.html
Fri 25 Mar 2016 18:11:17,SanFran,Sears Fine Food,596,202,2,American,-122.408539,37.788842,"439 Powell StreetSan Francisco, CA  94102",4159861160,3.8416,11,14,36,76,65,/sears-fine-food,Thu 03 Mar 2016 12:08:07,SanFran,Sears Fine Foods,2119,NotFound,American,-122.4087,37.788815,"439 Powell St, San Francisco, CA 94102-1503  (Sutter) ",4159861160,73,4.0868,52,87,320,827,834,/Restaurant_Review-g60713-d480710-Reviews-Sears_Fine_Foods-San_Francisco_California.html
Fri 25 Mar 2016 18:11:31,SanFran,Chinatown Restaurant,165,1,2,Chinese,-122.406003,37.79539,"744 Washington StreetSan Francisco, CA  94108",4153927958,4.0,0,0,0,1,0,/chinatown-restaurant,Thu 03 Mar 2016 16:41:23,SanFran,Chinatown Restaurant,252,NotFound,Chinese,-122.406,37.795383,"744 Washington Street, San Francisco, CA 94108-1305 ",4153927958,3347,2.6032,78,36,65,54,19,/Restaurant_Review-g60713-d532631-Reviews-Chinatown_Restaurant-San_Francisco_California.html
Fri 25 Mar 2016 18:11:43,SanFran,Bisou French Bistro,89,990,2,French,-122.434344,37.762809,"2367 Market StreetSan Francisco, CA  94114",4155566200,4.0283,40,55,131,307,387,/bisou-french-bistro,Thu 03 Mar 2016 12:13:55,SanFran,Bisou French Bistro,79,3,French,-122.434235,37.76301,"2367 Market Street, San Francisco, CA 94114  (Castro Street) ",4155566200,736,4.2152,3,2,12,20,42,/Restaurant_Review-g60713-d1988013-Reviews-Bisou_French_Bistro-San_Francisco_California.html
Fri 25 Mar 2016 18:12:03,SanFran,Zuni Cafe,713,4088,3,ModernEuropean,-122.421555,37.773432,"1658 Market StreetSan Francisco, CA  94102",4155522522,4.0684,75,300,660,1281,1764,/zuni-cafe,Thu 03 Mar 2016 15:08:01,SanFran,Zuni Cafe,700,3,American,-122.42164,37.77362,"1658 Market St, San Francisco, CA 94102-5949  (Between Franklin & Gough) ",4155522522,70,4.1843,18,37,89,210,346,/Restaurant_Review-g60713-d349460-Reviews-Zuni_Cafe-San_Francisco_California.html
Fri 25 Mar 2016 18:12:04,SanFran,Fringale,262,1611,3,French,-122.397064,37.778771,"570 4th StreetSan Francisco, CA  94107",4155430573,4.2263,10,78,158,617,697,/fringale,Thu 03 Mar 2016 12:39:44,SanFran,Fringale,107,4,French,-122.39699,37.77868,"570 Fourth St, San Francisco, CA 94107  (Bryant & Brannan) ",14155430573,413,4.3056,1,3,9,44,51,/Restaurant_Review-g60713-d360035-Reviews-Fringale-San_Francisco_California.html
Fri 25 Mar 2016 18:12:10,SanFran,Venticello,681,1126,3,Italian,-122.412994,37.794184,"1257 Taylor StreetSan Francisco, CA  94108",4159222545,4.0888,25,86,141,417,491,/venticello,Thu 03 Mar 2016 09:40:23,SanFran,Venticello Ristorante,193,4,Italian,-122.413246,37.794216,"1257 Taylor St, San Francisco, CA 94108-1409  (Washington) ",4159222545,143,4.4175,4,5,12,58,115,/Restaurant_Review-g60713-d353962-Reviews-Venticello_Ristorante-San_Francisco_California.html
Fri 25 Mar 2016 18:12:22,SanFran,Aperto,44,585,2,Italian,-122.397196,37.762663,"1434 18th StreetSan Francisco, CA  94107",4152521625,4.0983,6,38,70,263,223,/aperto,Thu 03 Mar 2016 03:55:45,SanFran,Aperto Restaurant,46,3,Italian,-122.39732,37.762672,"1434 18th St, San Francisco, CA 94107-2802  (Connecticut) ",14152521625,690,4.1739,1,0,3,28,14,/Restaurant_Review-g60713-d360054-Reviews-Aperto_Restaurant-San_Francisco_California.html
Fri 25 Mar 2016 18:12:24,SanFran,Range,546,2011,3,Californian,-122.42137,37.75941,"842 Valencia StreetSan Francisco, CA  94110",4152828283,4.1785,23,117,254,692,914,/range,Thu 03 Mar 2016 20:51:40,SanFran,Range,142,3,American,-122.421684,37.75942,"842 Valencia St, San Francisco, CA 94110  (19th St & 20th St.) ",4152828283,354,4.3099,0,7,13,51,71,/Restaurant_Review-g60713-d588382-Reviews-Range-San_Francisco_California.html
Fri 25 Mar 2016 18:12:34,SanFran,Perry's Union Street,519,54,2,American,-122.431332,37.797904,"1944 Union StreetSan Francisco, CA  94123",4159229022,3.95,4,0,16,36,24,/perrys-union-street,Thu 03 Mar 2016 03:20:49,SanFran,Perry's,127,3,American,-122.431335,37.797905,"1944 Union St, San Francisco, CA 94123  (Laguna) ",4159229022,404,4.1181,3,4,15,58,47,/Restaurant_Review-g60713-d372233-Reviews-Perry_s-San_Francisco_California.html
Fri 25 Mar 2016 18:12:40,SanFran,Layaly Mediterranean Grill,365,18,2,Mediterranean,-122.485495,37.781885,"2435 Clement StSan Francisco, CA  94121",4156681676,3.8333,0,2,3,9,4,/layaly-mediterranean-grill,Thu 03 Mar 2016 12:15:08,SanFran,Layaly Mediterranean Grill,16,2,Mediterranean,-122.48553,37.78182,"2435 Clement St, San Francisco, CA 94121-1921  (26th Street) ",4155928883,1416,4.25,0,1,3,3,9,/Restaurant_Review-g60713-d1995495-Reviews-Layaly_Mediterranean_Grill-San_Francisco_California.html
Fri 25 Mar 2016 18:12:44,SanFran,Sauce: Belden,590,235,2,American,-122.403753,37.791548,"56 Belden PlaceSan Francisco, CA  94104",4153978800,4.145,1,11,25,84,79,/sauce-belden,Thu 03 Mar 2016 16:20:54,SanFran,Sauce,70,3,American,-122.40376,37.79154,"56 Belden Pl, San Francisco, CA  (Off Kearney Between Bush & Pine) ",4153978800,466,4.0286,3,1,6,41,19,/Restaurant_Review-g60713-d3652321-Reviews-Sauce-San_Francisco_California.html
Fri 25 Mar 2016 18:12:46,SanFran,Ruth's Chris Steak House - San Francisco,576,1697,3,Steakhouse,-122.422434,37.790406,"1601 Van Ness AvenueSan Francisco, CA  94109",4156730557,4.122,48,100,226,531,775,/ruths-chris-steak-house-san-francisco,Thu 03 Mar 2016 15:30:24,SanFran,Ruth's Chris Steak House,310,4,American,-122.42265,37.790516,"1601 Van Ness Avenue, San Francisco, CA 94109  (California) ",4156730557,213,4.2645,12,13,26,89,170,/Restaurant_Review-g60713-d349427-Reviews-Ruth_s_Chris_Steak_House-San_Francisco_California.html
Fri 25 Mar 2016 18:13:14,SanFran,Fresca - West Portal,260,570,2,Peruvian,-122.466418,37.740677,"24 West Portal AvenueSan Francisco, CA  94127",4157598087,3.82,14,40,136,260,150,/fresca-west-portal,Thu 03 Mar 2016 15:29:30,SanFran,Fresca,38,3,Peruvian,-122.46635,37.74068,"24 West Portal Avenue, San Francisco, CA 94127  (Ulloa-Vicente) ",4157598087,1200,4.0789,0,1,9,14,14,/Restaurant_Review-g60713-d368771-Reviews-Fresca-San_Francisco_California.html
Fri 25 Mar 2016 18:13:19,SanFran,Aziza,57,2986,3,Moroccan,-122.481714,37.780541,"5800 Geary Blvd.San Francisco, CA  94121",4157522222,4.1682,56,186,404,872,1442,/aziza,Thu 03 Mar 2016 15:50:28,SanFran,Aziza,215,4,African,-122.481735,37.78044,"5800 Geary Blvd, San Francisco, CA 94121  (22nd Ave.) ",4157522222,320,4.293,5,9,23,59,119,/Restaurant_Review-g60713-d367039-Reviews-Aziza-San_Francisco_California.html
Fri 25 Mar 2016 18:13:20,SanFran,Caputo,146,57,2,Italian,-122.388649,37.784605,"100 Brannan StreetSan Francisco, CA  94107",4155439720,4.2,0,4,14,24,38,/caputo,Thu 03 Mar 2016 16:34:36,SanFran,Caputo,2,NotFound,NotFound,-122.38865,37.784607,"100 Brannan St, San Francisco, CA 94107 ",4155439720,2275,4.5,0,0,0,1,1,/Restaurant_Review-g60713-d8798712-Reviews-Caputo-San_Francisco_California.html
Fri 25 Mar 2016 18:13:20,SanFran,Limon Rotisserie - Valencia,380,903,2,Peruvian,-122.422136,37.764415,"524 Valencia StreetSan Francisco, CA  94110",4152520918,3.7978,34,88,171,364,263,/limon-rotisserie-valencia,Thu 03 Mar 2016 20:22:21,SanFran,Limon,188,3,Peruvian,-122.42185,37.764477,"524 Valencia St, 1001 South Van Ness Avenue, San Francisco, CA 94110  (16th) ",4152520918,327,4.133,5,7,19,84,73,/Restaurant_Review-g60713-d360141-Reviews-Limon-San_Francisco_California.html
Fri 25 Mar 2016 18:13:39,SanFran,Chotto,166,303,2,Japanese,-122.437769,37.799978,"3317 Steiner StreetSan Francisco, CA  94123",4154412223,4.2344,5,16,32,113,154,/chotto,Thu 03 Mar 2016 12:36:54,SanFran,Chotto,31,3,Japanese,-122.43775,37.79996,"3317 Steiner Street, San Francisco, CA 94123  (Lombard Street) ",14154412223,1085,4.3226,1,1,1,12,16,/Restaurant_Review-g60713-d2483881-Reviews-Chotto-San_Francisco_California.html
Fri 25 Mar 2016 18:13:52,SanFran,Campton Place,141,1235,4,Californian,-122.406556,37.789157,"340 Stockton StreetSan Francisco, CA  94108",4159555555,4.144,65,73,138,238,646,/campton-place,Thu 03 Mar 2016 09:12:29,SanFran,Campton Place Restaurant,195,4,French,-122.40678,37.789112,"340 Stockton St, San Francisco, CA 94108  (Sutter) ",4159555555,131,4.3897,2,10,19,43,121,/Restaurant_Review-g60713-d446708-Reviews-Campton_Place_Restaurant-San_Francisco_California.html
Fri 25 Mar 2016 18:14:02,SanFran,Crystal Jade Jiang Nan,190,192,3,Chinese,-122.39645,37.795064,"Four Embarcadero CenterSuite One, Lobby LevelSan Francisco, CA  94111",4153991200,3.37,13,39,51,55,42,/crystal-jade-jiang-nan,Thu 03 Mar 2016 13:20:16,SanFran,Crystal Jade Jiang Nan,35,NotFound,Chinese,-122.3965,37.79513,"Four Embarcadero Center, Suite One, Lobby Level, San Francisco, CA 94111 ",4153991200,1098,3.6944,3,3,7,12,11,/Restaurant_Review-g60713-d7239162-Reviews-Crystal_Jade_Jiang_Nan-San_Francisco_California.html
Fri 25 Mar 2016 18:14:06,SanFran,Myriad Gastro Pub,444,28,2,American,-122.418731,37.757267,"2491 Mission StreetSan Francisco, CA  94110",4155254335,4.3103,0,3,2,7,17,/myriad-gastro-pub,Thu 03 Mar 2016 14:12:28,SanFran,Myriad Gastro Pub,6,3,Gastropub,-122.41873,37.757267,"2491 Mission St, San Francisco, CA 94110 ",14155254335,2912,4.5,0,0,0,3,3,/Restaurant_Review-g60713-d8370634-Reviews-Myriad_Gastro_Pub-San_Francisco_California.html
Fri 25 Mar 2016 18:14:08,SanFran,Oro,478,69,3,Californian,-122.407981,37.782956,"8 Mint PlazaSan Francisco, CA  94103",4159741212,4.175,0,10,8,20,42,/oro-san-francisco,Thu 03 Mar 2016 07:03:36,SanFran,Oro,10,4,American,-122.40803,37.78294,"8 Mint Plaza, San Francisco, CA 94103 ",14159741212,3326,2.9,4,1,0,2,3,/Restaurant_Review-g60713-d8618708-Reviews-Oro-San_Francisco_California.html
Fri 25 Mar 2016 18:14:18,SanFran,Allegro Romano,32,74,2,Italian,-122.415416,37.796916,"1701 Jones StreetSan Francisco, CA  94109",4159284002,4.575,2,4,4,6,64,/allegro-romano,Thu 03 Mar 2016 08:07:07,SanFran,Allegro Romano,125,2,Italian,-122.41543,37.79694,"1701 Jones St, San Francisco, CA 94109-2110 ",14159284002,350,4.568,5,5,4,11,100,/Restaurant_Review-g60713-d469229-Reviews-Allegro_Romano-San_Francisco_California.html
Fri 25 Mar 2016 18:14:18,SanFran,Bar Tartine,69,1771,3,ContemporaryAmerican,-122.4218,37.763881,"561 Valencia StreetSan Francisco, CA  94110",4154871600,3.9903,55,152,275,551,727,/bar-tartine,Thu 03 Mar 2016 04:37:27,SanFran,Bar Tartine,174,3,French,-122.42168,37.763992,"561 Valencia St, San Francisco, CA 94110-1114  (16th and 17th Streets) ",4154871600,310,4.1552,3,10,17,71,73,/Restaurant_Review-g60713-d597979-Reviews-Bar_Tartine-San_Francisco_California.html
Fri 25 Mar 2016 18:14:33,SanFran,Villa D'Este,686,129,2,Italian,-122.473644,37.731761,"2623 Ocean AvenueSan Francisco, CA  94112",4153340580,3.6312,19,14,23,55,49,/villa-d-este-san-francisco,Thu 03 Mar 2016 14:34:32,SanFran,Villa D'este,12,NotFound,Italian,-122.4736,37.73184,"2623 Ocean Ave, San Francisco, CA 94132-1615  (19th Ave. & Junipero Serra) ",4153340580,2582,3.3333,2,2,1,4,3,/Restaurant_Review-g60713-d368814-Reviews-Villa_D_este-San_Francisco_California.html
Fri 25 Mar 2016 18:14:57,SanFran,Fogo de Chao Brazilian Steakhouse - San Francisco,248,74,4,BrazilianSteakhouse,-122.400197,37.785002,"201 3rd Street Suite 100San Francisco, CA  94103",4154270004,4.375,0,6,8,16,50,/fogo-de-chao-brazilian-steakhouse-san-francisco,Thu 03 Mar 2016 15:28:21,SanFran,Fogo de Chao Brazilian Steakhouse,10,4,Steakhouse,-122.399864,37.78507,"201 3rd St, Suite 100, San Francisco, CA 94103 ",4154270004,1143,4.3,1,0,0,3,6,/Restaurant_Review-g60713-d8784356-Reviews-Fogo_de_Chao_Brazilian_Steakhouse-San_Francisco_California.html
Fri 25 Mar 2016 18:15:03,SanFran,Manzoni,407,50,3,Italian,-122.433832,37.734766,"2788 Diamond StreetSan Francisco, CA  94131",4153342251,4.15,2,4,10,28,36,/manzoni,Thu 03 Mar 2016 20:41:39,SanFran,Manzoni,13,NotFound,Italian,-122.43383,37.734768,"2788 Diamond St, Glen Park, San Francisco, CA 94131  ",4153342251,1554,4.4615,0,0,1,5,7,/Restaurant_Review-g60713-d2702887-Reviews-Manzoni-San_Francisco_California.html
Fri 25 Mar 2016 18:15:15,SanFran,Sabrosa,579,94,2,Mexican,-122.435658,37.799187,"3200 Fillmore St.San Francisco, CA  94123",4156386500,3.525,11,17,29,24,39,/sabrosa,Thu 03 Mar 2016 18:00:01,SanFran,Sabrosa,13,NotFound,Mexican,-122.43566,37.799187,"3200 Fillmore St, San Francisco, CA 94123 ",4156386500,2469,3.7692,2,1,1,3,6,/Restaurant_Review-g60713-d5570129-Reviews-Sabrosa-San_Francisco_California.html
Fri 25 Mar 2016 18:15:16,SanFran,Sauce: Gough,591,1894,2,American,-122.422793,37.774604,"131 Gough StSan Francisco, CA  94102",4152521369,3.9287,33,133,319,845,550,/sauce-gough,Thu 03 Mar 2016 01:48:17,SanFran,Sauce,95,3,American,-122.42274,37.77462,"131 Gough St, San Francisco, CA 94102  (Oak and Page) ",4152521369,480,4.1579,2,3,12,39,39,/Restaurant_Review-g60713-d579155-Reviews-Sauce-San_Francisco_California.html
