"OTCity","OTName","OTReviewCount","OTPrice","OTLongitude","OTLatitude","OT1","OT2","OT3","OT4","OT5","TAName","TAReviewCount","TAPrice","TACuisine","TALongitude","TALatitude","TARanking","TA1","TA2","TA3","TA4","TA5","OTMean","TAMean","TAP1","OTP1","cheat1","TAP5","OTP5","cheat5","CuisineN","GIndex0.5","GIndex1","TIndex0.5","TIndex1","TIndex1.5","distAbs","PIndex0.5","PIndex1","PIndex1.5","RIndex1500","RIndex2500","TOIndex1","roundedStar","GIndex1.5","TOIndex0.5","TOIndex1.5","GIndexG1","TIndexG1","TOIndexG1","PIndexG1","RIndexG1500","lTARC","TAQ","CuisineN.f","RIndex3500","TAP2","OTP2","TAP3","OTP3","TAP4","OTP4","RIndexG2500","starDist","samp"
"London","Noor Jahan",91,2,-0.18299,51.491104,11,17,29,28,35,"Noor Jahan",174,"4","Indian",-0.182933,51.491154,4013,17,13,22,53,69,4.6043956,3.82758621,0.09770115,0.09166667,0.673649027646288,0.39655172,0.29166667,0.768345315995463,"Asia",0.521384049506781,0.60874257749157,0.703325012018563,0.785058301432375,0.969283867035574,0,1.31548315580273,1.51647619134213,1.67847585525806,0.0458276279605608,0.125446850894829,0.72644893645464,4,0.776048522177248,0.62655288861785,0.895848996472797,0.51269299018026,0.972684168598364,0.626641015943214,1.42313934368647,0.0485736818160732,5.15905529921453,-0.995462031257256,"Asia",0.357539144503485,0.07471264,0.14166667,0.12643678,0.24166667,0.3045977,0.23333333,0.189134156546004,0,0
"London","The Stag Hampstead",89,2,-0.161642,51.55339,3,6,12,59,40,"The Stag",79,"NotFound","British",-0.161633,51.553406,4839,8,5,7,25,34,5.47191011,3.91139241,0.10126582,0.025,0.822031424683208,0.43037975,0.33333333,0.691185630014379,"Anglo",0.00400658763394857,0.0685695634717286,0.228159478836146,0.325305005561188,0.554660197702013,0,0.114319140007984,0.0601436686253188,0.0303076302283397,-0.246288144375713,-0.347777097054695,0.137233933096834,4,0.242733092569559,0.0907860981289307,0.297144097535211,0.00830901664887462,0.972684168598364,0.0795882752238856,0.0973641295874057,-0.23318867364033,4.36944785246702,-0.720172913491351,"Anglo",-0.156734283682585,0.06329114,0.05,0.08860759,0.1,0.3164557,0.49166667,-0.25405663239999,0,0
"London","The Maynard Arms",60,2,-0.126543,51.58172,4,6,10,46,14,"The Maynard Arms",82,"NotFound","British",-0.1263,51.581676,7592,6,21,11,24,20,5,3.37804878,0.07317073,0.05,0.69589709504957,0.24390244,0.175,0.647696720351348,"Anglo",-0.0346545085026431,-0.105037671799111,0.13518983544303,0.0699643664887152,0.109687338131127,0,0.114319140007984,0.0601436686253188,0.0303076302283397,-0.300997860816089,-0.548054955633424,-0.0316732479786364,3.5,-0.086912863174758,0.0449151459012831,-0.0106531603796882,-0.0857047140414275,0.972684168598364,-0.017249662218815,0.0973641295874057,-0.286103936745348,4.40671924726425,-2.48799339263866,"Anglo",-0.650801070695722,0.25609756,0.075,0.13414634,0.125,0.29268293,0.575,-0.565079253853804,0,0
"London","German Gymnasium Grand Cafe",29,3,-0.125079,51.532927,0,1,5,17,7,"German Gymnasium",244,"NotFound","German",-0.124638,51.53338,958,10,19,42,82,98,4.13793103,4.06557377,0.03984064,0,0.797500142725414,0.39043825,0.23333333,0.868976163285911,"Europe",0.54946191362571,1.05096214332259,0.43387217531455,0.799244441464829,1.0514548289758,0,0.114319140007984,0.0601436686253188,0.0303076302283397,0.281722387873666,0.980041188328021,1.19057996549531,4,1.39058813304934,0.652958096984397,1.55528721430027,0.766346504106111,0.972684168598364,0.882173374180948,0.0973641295874057,0.317448100505245,5.4971682252932,-0.206078777904422,"Europe",1.27439002337306,0.07569721,0.03333333,0.16733068,0.16666667,0.32669323,0.56666667,0.89861919933866,0,0
"London","Zizzi - Greenwich",26,2,-0.009033,51.482772,2,2,6,12,4,"Zizzi - Greenwich",184,"2","Italian",-0.00987,51.48238,4689,23,18,30,62,51,3.53846154,3.54347826,0.125,0.07692308,0.786349560017325,0.27717391,0.15384615,0.754993457765585,"Italy",0.0943045045716112,-0.0609726903418961,0.0865853864581245,-0.020312993336087,-0.0509921357750625,0,0.537348004086093,0.381728999926718,0.337050020166729,-0.301083502170399,-0.62134183553883,0.062981875707784,3.5,-0.0974729771003908,0.240256631774618,0.0330528042939502,-0.0345279264613465,0.972684168598364,0.0791622760617849,0.370158872143849,-0.288225788546137,5.21493575760899,-1.94073189346548,"Italy",-0.80670746152317,0.09782609,0.07692308,0.16304348,0.23076923,0.33695652,0.46153846,-0.655828754868103,0,0
"London","Sartori",761,2,-0.128394,51.511859,10,25,67,370,328,"Sartori",953,"NotFound","Italian",-0.127996,51.5117,429,26,49,88,347,443,4.44283837,4.18782791,0.02728227,0.0125,0.993830045407114,0.46484785,0.41,1.21303916064922,"Italy",3.66954919948324,2.92621015381873,2.87416429100838,2.31181919153499,2.09234350861892,0,0.114319140007984,0.0601436686253188,0.0303076302283397,2.46207689604532,1.91756269831349,3.24694141030228,4,2.68638940101814,4.07490858380232,2.97151181753436,2.85412869428699,0.972684168598364,3.16662053030277,0.0973641295874057,2.44873551190365,6.8596149036542,0.198563057847871,"Italy",1.69082792964469,0.05141658,0.03125,0.09233998,0.08375,0.36411333,0.4625,2.05204681208832,0,0
"London","Little Social",637,3,-0.142158,51.513535,5,22,62,231,320,"Little Social",392,"4","British",-0.142217,51.51354,235,6,12,40,112,225,4.33124019,4.39540816,0.01518987,0.0078125,0.748158814242122,0.56962025,0.5,1.06419438519434,"Anglo",2.71226762587183,2.51798929990078,3.64972388573851,3.53095842267891,3.4524600907253,0,3.74895005194758,3.45237083613849,3.28013726490847,2.0062056548356,1.55763022945574,2.38435784883803,4.5,2.4225358650901,2.5547683983556,2.27836890143638,2.58685875190407,0.972684168598364,2.48172401638752,3.55218141644433,1.9332751518175,5.97126183979046,0.885127484083318,"Anglo",1.32927459546982,0.03037975,0.034375,0.10126582,0.096875,0.2835443,0.3609375,1.59656562604456,0,0
"London","Tom's Kitchen - St Katharine D",231,3,-0.07225,51.508279,18,44,43,73,62,"Tom's Kitchen",244,"NotFound","British",-0.07254,51.50813,2943,12,34,60,70,71,3.62337662,3.66803279,0.048583,0.075,0.488602452704916,0.28744939,0.25833333,0.674313432221134,"Anglo",0.661178495098039,0.881607366713607,1.16505601788796,1.49589423358504,1.75098665754286,0,0.114319140007984,0.0601436686253188,0.0303076302283397,0.22111344152833,0.270902172198964,0.766904712640777,3.5,1.06255448826603,0.605792580834183,0.922017454505395,0.816936658419355,0.972684168598364,0.711993282238914,0.0973641295874057,0.21370440716,5.4971682252932,-1.52613984863731,"Anglo",0.457465905674362,0.13765182,0.18333333,0.24291498,0.17916667,0.28340081,0.30416667,0.321825094779252,0,0
"London","Café Boheme",30,2,-0.130651,51.513269,2,0,6,11,11,"Cafe Boheme",325,"4","French",-0.13069,51.51341,1052,20,11,31,147,116,3.96666667,4.00923077,0.06153846,0.06666667,0.628980324297815,0.35692308,0.36666667,0.558363084435353,"Europe",3.9030522657785,3.02029200410922,2.73474263740065,2.27460321684101,2.09507268114061,0,4.0162722116545,3.51760971394682,3.30714658599746,2.55521823836251,2.0704751420784,3.37286153054519,4,2.73607848899665,4.39239643240388,3.03402264379061,2.94695088443048,0.972684168598364,3.29413479163955,3.52586745943329,2.66846627308713,5.78382518232974,-0.395132750346065,"Europe",1.93838980655545,0.03384615,0,0.09538462,0.2,0.45230769,0.36666667,2.25135411075463,0,0
"London","Norfolk Arms",284,3,-0.125025,51.526602,1,4,41,210,64,"Norfolk Arms",217,"3","European",-0.12527,51.52663,3465,16,24,31,99,49,4.54929577,3.67741935,0.07305936,0.003125,1.11807939558296,0.22374429,0.2,0.66259458321837,"Europe",1.05616622294365,1.6107878520397,2.35603552608522,3.88078861656588,4.61872130757864,0,0.977008556523353,1.47250973187954,1.70218192126216,0.658394303692121,1.02547177311547,1.79255771479219,3.5,1.86493470430336,1.19245631069231,2.06298107542154,1.48149955989386,0.972684168598364,1.6577574074762,1.34628266161587,0.628841810442473,5.37989735354046,-1.49628922140968,"Europe",1.16045675180795,0.10958904,0.0125,0.14155251,0.128125,0.45205479,0.65625,0.967844145544684,0,0
