Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Thu 03 Mar 2016 01:29:48,NewYork,Brooklyn Diner,1477,3,American,-73.98075,40.765335,"212 West 57th Street, New York City, NY 10019 ",2129771957,304,4.0819,45,65,207,567,593,/Restaurant_Review-g60763-d457805-Reviews-Brooklyn_Diner-New_York_City_New_York.html
Thu 03 Mar 2016 01:30:14,NewYork,Hale & Hearty Soups,23,NotFound,American,-73.98717,40.75336,"1410 Broadway, New York City, NY 10018 ",2123541199,3067,4.5652,0,0,1,8,14,/Restaurant_Review-g60763-d1747662-Reviews-Hale_Hearty_Soups-New_York_City_New_York.html
Thu 03 Mar 2016 01:30:25,NewYork,Mi Tierra,NotFound,NotFound,NotFound,-73.952065,40.82493,"3485 Broadway, #3, New York City, NY 10031 ",2124913300,9350,NotFound,NotFound,NotFound,NotFound,NotFound,NotFound,/Restaurant_Review-g60763-d4616914-Reviews-Mi_Tierra-New_York_City_New_York.html
Thu 03 Mar 2016 01:30:52,NewYork,Dorsia,9,NotFound,NotFound,-73.99066,40.739006,"5 E 19th St, New York City, NY 10003 ",646.480.6046,5546,4.2222,1,0,1,1,6,/Restaurant_Review-g60763-d4729300-Reviews-Dorsia-New_York_City_New_York.html
Thu 03 Mar 2016 01:30:59,NewYork,Soba Nippon,84,4,Japanese,-73.9773,40.760384,"19 W 52nd St, New York City, NY 10019  (Between 5th and 6th Avenues) ",2124892525,1132,4.3214,0,1,9,36,38,/Restaurant_Review-g60763-d424540-Reviews-Soba_Nippon-New_York_City_New_York.html
Thu 03 Mar 2016 01:31:06,NewYork,Hale & Hearty Soups,15,NotFound,Pub,-73.98291,40.76054,"745 7th Ave, New York City, NY 10019 ",2122219666,3440,4.6,0,0,1,4,10,/Restaurant_Review-g60763-d4370036-Reviews-Hale_Hearty_Soups-New_York_City_New_York.html
Thu 03 Mar 2016 01:31:13,NewYork,Pergola,15,NotFound,Mediterranean,-73.98585,40.753464,"109 W 39th St, New York City, NY 10018 ",2127682211,3538,4.3333,0,0,2,6,7,/Restaurant_Review-g60763-d5106201-Reviews-Pergola-New_York_City_New_York.html
Thu 03 Mar 2016 01:31:32,NewYork,Spring Street,21,4,American,-74.00992,40.726063,"325 Spring St., (Greenwich & Washington Sts.), New York City, NY 10013 ",2124141344,4515,4.5238,0,0,3,4,14,/Restaurant_Review-g60763-d494398-Reviews-Spring_Street-New_York_City_New_York.html
Thu 03 Mar 2016 01:31:44,NewYork,PS Burgers,5,NotFound,NotFound,-74.00335,40.73024,"35 Carmine St, New York City, NY 10014-4429 ",6469984685,6800,4.4,0,0,1,1,3,/Restaurant_Review-g60763-d4921719-Reviews-PS_Burgers-New_York_City_New_York.html
Thu 03 Mar 2016 01:32:14,NewYork,Pizzaiolo Emigrante,5,NotFound,Italian,-73.98146,40.782166,"2161 Broadway, New York City, NY ",NotFound,6606,4.0,0,0,1,3,1,/Restaurant_Review-g60763-d3454199-Reviews-Pizzaiolo_Emigrante-New_York_City_New_York.html
Thu 03 Mar 2016 01:32:35,NewYork,Golden Unicorn Restaurant,288,2,Chinese,-73.997246,40.713684,"18 E Broadway, New York City, NY 10002-6803 ",2129410911,1187,3.7716,26,17,31,138,77,/Restaurant_Review-g60763-d457884-Reviews-Golden_Unicorn_Restaurant-New_York_City_New_York.html
Thu 03 Mar 2016 01:32:47,NewYork,Food Court,46,NotFound,Pizza,-73.98881,40.758556,"698, 8th Avenue, New York City, NY ",NotFound,2455,3.8043,0,1,17,18,10,/Restaurant_Review-g60763-d3643072-Reviews-Food_Court-New_York_City_New_York.html
Thu 03 Mar 2016 01:33:00,NewYork,Langan's Bar & Restaurant,401,NotFound,American,-73.98382,40.75869,"150 W 47th St, between 6th and 7th Avenues, New York City, NY 10036 ",2128695482,390,4.0723,15,10,56,170,150,/Restaurant_Review-g60763-d424442-Reviews-Langan_s_Bar_Restaurant-New_York_City_New_York.html
Thu 03 Mar 2016 01:33:12,NewYork,Panera Bread,93,NotFound,American,-73.98206,40.75186,"452 5th Ave, New York City, NY 10018 ",2129386950,1628,3.8817,4,4,17,42,26,/Restaurant_Review-g60763-d5066123-Reviews-Panera_Bread-New_York_City_New_York.html
