Time,City,Name,ReviewCount,Price,Cuisine,Longitude,Latitude,Address,PhoneNumber,Ranking,MeanRating,1,2,3,4,5,Link
Thu 03 Mar 2016 01:43:02,SanFran,Sanraku at Metreon,60,NotFound,Japanese,-122.40296,37.783783,"101 4th Street, Ground Floor at Metreon, San Francisco, CA  94103 ",4153696166,701,4.0833,1,2,11,23,23,/Restaurant_Review-g60713-d3354984-Reviews-Sanraku_at_Metreon-San_Francisco_California.html
Thu 03 Mar 2016 01:43:16,SanFran,Cafe Rain Tree,6,NotFound,Cafe,-122.46742,37.73939,"118 W Portal Ave, San Francisco, CA ",4156653633,3193,3.1667,0,1,3,2,0,/Restaurant_Review-g60713-d3652626-Reviews-Cafe_Rain_Tree-San_Francisco_California.html
Thu 03 Mar 2016 01:43:28,SanFran,Hollow,9,NotFound,NotFound,-122.47343,37.763718,"1435 Irving St, San Francisco, CA 94122 ",4152424119,1401,4.5556,0,0,1,2,6,/Restaurant_Review-g60713-d4711394-Reviews-Hollow-San_Francisco_California.html
Thu 03 Mar 2016 01:43:41,SanFran,Tataki,51,2,Japanese,-122.44111,37.78778,"2815 California St, San Francisco, CA ",4159311182,699,4.3529,1,0,4,21,25,/Restaurant_Review-g60713-d1047453-Reviews-Tataki-San_Francisco_California.html
Thu 03 Mar 2016 01:43:51,SanFran,Toasties,2,NotFound,NotFound,-122.46579,37.74091,"850 Ulloa St, San Francisco, CA 94127 ",4156654677,1790,5.0,0,0,0,0,2,/Restaurant_Review-g60713-d4456230-Reviews-Toasties-San_Francisco_California.html
Thu 03 Mar 2016 01:44:04,SanFran,Maui Wowi San Francisco,7,NotFound,NotFound,-122.41022,37.808823,"Pier 39, Space H-01, San Francisco, CA 94133 ",4159864785,2888,4.1429,1,0,0,2,4,/Restaurant_Review-g60713-d4809979-Reviews-Maui_Wowi_San_Francisco-San_Francisco_California.html
Thu 03 Mar 2016 01:44:22,SanFran,City Chopsticks,110,NotFound,Chinese,-122.41179,37.78979,"883 Bush St, San Francisco, CA ",4155631085,297,4.2727,4,0,5,54,47,/Restaurant_Review-g60713-d3297829-Reviews-City_Chopsticks-San_Francisco_California.html
Thu 03 Mar 2016 01:44:39,SanFran,Mission Hunan Restaurant,1,NotFound,Chinese,-122.41894,37.76531,"2960 16th St, San Francisco, CA 94103-3632 ",4156218288,3448,1.0,1,0,0,0,0,/Restaurant_Review-g60713-d533542-Reviews-Mission_Hunan_Restaurant-San_Francisco_California.html
Thu 03 Mar 2016 01:44:51,SanFran,Pete's Barbeque,5,NotFound,American,-122.418976,37.758736,"2399 Mission St, San Francisco, CA 94110-1813 ",4158261009,1566,4.4,0,0,0,3,2,/Restaurant_Review-g60713-d537835-Reviews-Pete_s_Barbeque-San_Francisco_California.html
Thu 03 Mar 2016 01:45:10,SanFran,San Francisco Brewing Company,8,2,American,-122.405,37.79676,"155 Columbus Avenue, San Francisco, CA 94133-5114 ",4154343344,3107,3.0,0,3,2,3,0,/Restaurant_Review-g60713-d533312-Reviews-San_Francisco_Brewing_Company-San_Francisco_California.html
Thu 03 Mar 2016 01:45:26,SanFran,King of Food Garden,2,NotFound,Chinese,-122.478905,37.763638,"1936 Irving St, San Francisco, CA 94122 ",14156829813,3240,3.0,0,0,2,0,0,/Restaurant_Review-g60713-d8842837-Reviews-King_of_Food_Garden-San_Francisco_California.html
Thu 03 Mar 2016 01:45:45,SanFran,Pier 23 Cafe,450,3,American,-122.40089,37.803326,"1690 The embarcadero, San Francisco, CA 94111  (Greenwhich) ",4153625125,82,4.0956,8,15,73,184,170,/Restaurant_Review-g60713-d537890-Reviews-Pier_23_Cafe-San_Francisco_California.html
Thu 03 Mar 2016 01:46:01,SanFran,Saffron 685,10,3,Mediterranean,-122.40327,37.770348,"685 Townsend St, San Francisco, CA  (8th Street) ",4158632285,975,4.9,0,0,0,1,9,/Restaurant_Review-g60713-d3652412-Reviews-Saffron_685-San_Francisco_California.html
Thu 03 Mar 2016 01:46:19,SanFran,Seasons at the Four Seasons Hotel,32,4,American,NotFound,NotFound,"San Francisco, CA  (Market Street between 3rd and 4th streets) ",4156333838,1208,4.4375,0,1,1,13,17,/Restaurant_Review-g60713-d1315314-Reviews-Seasons_at_the_Four_Seasons_Hotel-San_Francisco_California.html
Thu 03 Mar 2016 01:46:43,SanFran,Indochine Vegan,2,NotFound,Vegetarian,-122.42225,37.764668,"508 Valencia, San Francisco, CA 94110 ",4157010700,2193,4.5,0,0,0,1,1,/Restaurant_Review-g60713-d7598255-Reviews-Indochine_Vegan-San_Francisco_California.html
Thu 03 Mar 2016 01:47:03,SanFran,Taco Bell,2,NotFound,Mexican,-122.4642,37.78116,"4150 Geary Blvd, San Francisco, CA 94118 ",4153877440,3213,3.0,1,0,0,0,1,/Restaurant_Review-g60713-d5223449-Reviews-Taco_Bell-San_Francisco_California.html
Thu 03 Mar 2016 01:47:13,SanFran,The Beanery,3,NotFound,NotFound,-122.46442,37.76421,"602 Irving St, San Francisco, CA 94122 ",4156611090,3013,3.6667,1,0,0,0,2,/Restaurant_Review-g60713-d5066136-Reviews-The_Beanery-San_Francisco_California.html
Thu 03 Mar 2016 01:47:31,SanFran,The Tradesman,6,NotFound,NotFound,-122.41153,37.759575,"753 Alabama St, San Francisco, CA 94110 ",4158142276,1347,4.6667,0,0,0,2,4,/Restaurant_Review-g60713-d6896886-Reviews-The_Tradesman-San_Francisco_California.html
Thu 03 Mar 2016 01:47:47,SanFran,Sausage Factory,145,1,Italian,-122.43476,37.76051,"517 Castro St, San Francisco, CA 94114-2511 ",4156261250,639,4.0207,6,9,19,53,58,/Restaurant_Review-g60713-d372134-Reviews-Sausage_Factory-San_Francisco_California.html
Thu 03 Mar 2016 01:48:02,SanFran,Tekka Japanese Restaurant,2,3,Japanese,-122.46473,37.77717,"537 Balboa St, San Francisco, CA 94118-3822 ",4152218455,1659,5.0,0,0,0,0,2,/Restaurant_Review-g60713-d379213-Reviews-Tekka_Japanese_Restaurant-San_Francisco_California.html
Thu 03 Mar 2016 01:48:17,SanFran,Sauce,95,3,American,-122.42274,37.77462,"131 Gough St, San Francisco, CA 94102  (Oak and Page) ",4152521369,480,4.1579,2,3,12,39,39,/Restaurant_Review-g60713-d579155-Reviews-Sauce-San_Francisco_California.html
Thu 03 Mar 2016 01:48:35,SanFran,Caffe Bianco,9,2,American,-122.4012,37.790062,"39 Sutter St, San Francisco, CA 94104-4901 ",4154210911,2370,4.1111,0,0,1,6,2,/Restaurant_Review-g60713-d531752-Reviews-Caffe_Bianco-San_Francisco_California.html
Thu 03 Mar 2016 01:48:44,SanFran,dragonEats,4,NotFound,Vietnamese,-122.423096,37.77842,"520 Gough, San Francisco, CA ",NotFound,1548,4.75,0,0,0,1,3,/Restaurant_Review-g60713-d3625609-Reviews-DragonEats-San_Francisco_California.html
Thu 03 Mar 2016 01:49:03,SanFran,El Azteca Taqueria,2,NotFound,Mexican,-122.39292,37.729454,"5298 3rd St, San Francisco, CA 94124 ",4158221460,2991,3.5,0,0,1,1,0,/Restaurant_Review-g60713-d4257246-Reviews-El_Azteca_Taqueria-San_Francisco_California.html
Thu 03 Mar 2016 01:49:21,SanFran,Tricolore Caffe & Pizzeria,4,NotFound,Cafe,-122.403076,37.79568,"590 Washington Street, corner of Montgomery and Columbus, San Francisco, CA 94111 ",4153910509,2676,4.0,0,0,0,4,0,/Restaurant_Review-g60713-d1026827-Reviews-Tricolore_Caffe_Pizzeria-San_Francisco_California.html
